sogn_code;sogn_name_full;pop_2020;n_tested;test_inc_cum;n_cases;inc_cum;n_cases_7days;inc_7days;n_tested_7days;tested_inc_7days;n_vaccines_started;n_vaccines_done;n_vaccines_started_7days;n_vaccines_done_7days;pct_vaccines_started;pct_vaccines_done;pct_vaccines_started_7days;pct_vaccines_done_7days
7083;Nathanaels (København Municipality);8323;6549;78685,57010693260;481;5779,166166045897;15;180,22347711161842;62;744,9237053946894;410;166;156;7;4,926108374384237;1,994473146701910;1,874324161960831;0,08410428931875526
7084;Sundby (København Municipality);18789;15015;79913,77933897493;1260;6706,051413060834;20;106,44526052477512;133;707,8609824897546;1122;459;363;36;5,971579115439885;2,442918729043589;1,931981478524669;0,19160146894459523
7085;Allehelgens (København Municipality);13349;11358;85085,02509551277;792;5933,028691287736;21;157,31515469323546;124;928,9085324743427;736;307;233;9;5,513521612105776;2,299797737658251;1,745449097310660;0,06742078058281520
7086;Filips (København Municipality);12083;9606;79500,12414135563;649;5371,182653314574;10;82,76090374906893;89;736,5720433667135;617;226;251;8;5,106347761317553;1,870396424728958;2,077298684101630;0,06620872299925515
7087;Sundkirkens (København Municipality);8043;6579;81797,83662812383;428;5321,397488499316;16;198,93074723361929;76;944,9210493596917;427;177;148;3;5,308964316797215;2,200671391271913;1,840109411910978;0,03729951510630362
7088;Højdevangs (København Municipality);13221;10499;79411,54224340065;757;5725,739354057939;14;105,89214129037138;93;703,4263671431813;863;377;251;15;6,527494138113607;2,851524090462144;1,898494818848801;0,11345586566825505
7089;Simon Peters (København Municipality);10118;7959;78661,79086776043;473;4674,836924293339;5;49,41688080648349;77;761,0199644198458;585;241;206;5;5,781775054358569;2,381893654872504;2,035975489227120;0,04941688080648349
7090;Solvang (København Municipality);12623;9818;77778,65800522856;799;6329,715598510655;31;245,58345876574506;112;887,2692703794661;783;340;245;39;6,202962845599303;2,693495999366236;1,940901528955082;0,30895983522142123
7101;Frederiksberg (Frederiksberg Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7102;Sankt Lukas (Frederiksberg Municipality);7032;5706;81143,34470989762;359;5105,233219567690;7;99,54493742889646;44;625,7110352673493;436;217;122;4;6,200227531285551;3,085893060295791;1,734926052332196;0,05688282138794084
7103;Solbjerg (Frederiksberg Municipality);9460;7647;80835,09513742072;490;5179,704016913319;0;0,00000000000000;37;391,1205073995771;675;271;206;11;7,135306553911206;2,864693446088795;2,177589852008457;0,11627906976744186
7104;Lindevang (Frederiksberg Municipality);14058;11061;78681,17797695262;767;5455,968132024470;7;49,79371176554275;69;490,8237302603500;1007;480;265;27;7,163181106843079;3,414425949637217;1,885047659695547;0,19206145966709345
7105;Flintholm (Frederiksberg Municipality);10112;7730;76443,82911392406;666;6586,234177215190;7;69,22468354430380;70;692,2468354430380;1107;557;263;36;10,947389240506329;5,508306962025316;2,600870253164557;0,35601265822784811
