"Faerdigvacc. dato";"regionskode_current";"Regionsnavn";"Antal faerdigvacc.";"regionskode_num"
2021-03-09;1083;Syddanmark;736;1083
2021-03-09;1084;Hovedstaden;1411;1084
2021-03-09;1085;Sjælland;1625;1085
2021-03-10;1081;Nordjylland;372;1081
2021-03-10;1082;Midtjylland;1725;1082
2021-03-10;1083;Syddanmark;838;1083
2021-03-10;1084;Hovedstaden;1664;1084
2021-03-10;1085;Sjælland;2474;1085
2021-03-11;1081;Nordjylland;776;1081
2021-03-11;1082;Midtjylland;1241;1082
2021-03-11;1083;Syddanmark;381;1083
2021-03-11;1084;Hovedstaden;4259;1084
2021-03-11;1085;Sjælland;1146;1085
2021-03-12;1081;Nordjylland;1483;1081
2021-03-12;1082;Midtjylland;988;1082
2021-03-12;1083;Syddanmark;2208;1083
2021-03-12;1084;Hovedstaden;4716;1084
2021-03-12;1085;Sjælland;949;1085
2021-03-13;1081;Nordjylland;2328;1081
2021-03-13;1082;Midtjylland;571;1082
2021-03-13;1083;Syddanmark;1898;1083
2021-03-13;1084;Hovedstaden;88;1084
2021-03-13;1085;Sjælland;890;1085
2021-03-14;1081;Nordjylland;2193;1081
2021-03-14;1082;Midtjylland;207;1082
2021-03-14;1083;Syddanmark;1956;1083
2021-03-14;1084;Hovedstaden;3190;1084
2021-03-14;1085;Sjælland;1653;1085
2021-03-15;1081;Nordjylland;1715;1081
2021-03-15;1082;Midtjylland;2739;1082
2021-03-15;1083;Syddanmark;1796;1083
2021-03-15;1084;Hovedstaden;2709;1084
2021-03-15;1085;Sjælland;722;1085
2021-03-16;1081;Nordjylland;61;1081
2021-03-16;1082;Midtjylland;3457;1082
2021-03-16;1083;Syddanmark;1431;1083
2021-03-16;1084;Hovedstaden;3454;1084
2021-03-16;1085;Sjælland;869;1085
2021-03-17;1081;Nordjylland;46;1081
2021-03-17;1082;Midtjylland;2776;1082
2021-03-17;1083;Syddanmark;1015;1083
2021-03-17;1084;Hovedstaden;4320;1084
2021-03-17;1085;Sjælland;822;1085
2021-03-18;1081;Nordjylland;111;1081
2021-03-18;1082;Midtjylland;1138;1082
2021-03-18;1083;Syddanmark;1016;1083
2021-03-18;1084;Hovedstaden;4326;1084
2021-03-18;1085;Sjælland;547;1085
2021-03-19;1081;Nordjylland;549;1081
2021-03-19;1082;Midtjylland;3015;1082
2021-03-19;1083;Syddanmark;3799;1083
2021-03-19;1084;Hovedstaden;1147;1084
2021-03-19;1085;Sjælland;3057;1085
2021-03-20;1081;Nordjylland;1718;1081
2021-03-20;1082;Midtjylland;29;1082
2021-03-20;1083;Syddanmark;2572;1083
2021-03-20;1084;Hovedstaden;90;1084
2021-03-20;1085;Sjælland;333;1085
2021-03-21;1081;Nordjylland;7;1081
2021-03-21;1082;Midtjylland;13;1082
2021-03-21;1083;Syddanmark;2449;1083
2021-03-21;1084;Hovedstaden;2055;1084
2021-03-21;1085;Sjælland;70;1085
2021-03-22;1081;Nordjylland;1360;1081
2021-03-22;1082;Midtjylland;2726;1082
2021-03-22;1083;Syddanmark;2185;1083
2021-03-22;1084;Hovedstaden;84;1084
2021-03-22;1085;Sjælland;1293;1085
2021-03-23;1081;Nordjylland;2221;1081
2021-03-23;1082;Midtjylland;3323;1082
2021-03-23;1083;Syddanmark;1345;1083
2021-03-23;1084;Hovedstaden;117;1084
2021-03-23;1085;Sjælland;479;1085
2021-03-24;1081;Nordjylland;421;1081
2021-03-24;1082;Midtjylland;1689;1082
2021-03-24;1083;Syddanmark;1203;1083
2021-03-24;1084;Hovedstaden;8443;1084
2021-03-24;1085;Sjælland;1492;1085
2021-03-25;1081;Nordjylland;212;1081
2021-03-25;1082;Midtjylland;1715;1082
2021-03-25;1083;Syddanmark;1266;1083
2021-03-25;1084;Hovedstaden;4449;1084
2021-03-25;1085;Sjælland;663;1085
2021-03-26;1081;Nordjylland;39;1081
2021-03-26;1082;Midtjylland;1387;1082
2021-03-26;1083;Syddanmark;3271;1083
