"Første vacc. dato","regionskode_current","Regionsnavn","Antal første vacc.","regionskode_num"
2021-03-23,1085,Sjælland,1975,1085
2021-03-24,1081,Nordjylland,1442,1081
2021-03-24,1082,Midtjylland,2904,1082
2021-03-24,1083,Syddanmark,1392,1083
2021-03-24,1084,Hovedstaden,1507,1084
2021-03-24,1085,Sjælland,2629,1085
2021-03-25,1081,Nordjylland,1024,1081
2021-03-25,1082,Midtjylland,2484,1082
2021-03-25,1083,Syddanmark,1505,1083
2021-03-25,1084,Hovedstaden,1810,1084
2021-03-25,1085,Sjælland,942,1085
2021-03-26,1081,Nordjylland,1121,1081
2021-03-26,1082,Midtjylland,1572,1082
2021-03-26,1083,Syddanmark,1167,1083
2021-03-26,1084,Hovedstaden,891,1084
2021-03-26,1085,Sjælland,1418,1085
2021-03-27,1081,Nordjylland,2347,1081
2021-03-27,1082,Midtjylland,430,1082
2021-03-27,1083,Syddanmark,1118,1083
2021-03-27,1084,Hovedstaden,2883,1084
2021-03-27,1085,Sjælland,3216,1085
2021-03-28,1081,Nordjylland,2955,1081
2021-03-28,1082,Midtjylland,830,1082
2021-03-28,1083,Syddanmark,1071,1083
2021-03-28,1084,Hovedstaden,2983,1084
2021-03-28,1085,Sjælland,2973,1085
2021-03-29,1081,Nordjylland,108,1081
2021-03-29,1082,Midtjylland,4519,1082
2021-03-29,1083,Syddanmark,1573,1083
2021-03-29,1084,Hovedstaden,8116,1084
2021-03-29,1085,Sjælland,3710,1085
2021-03-30,1081,Nordjylland,72,1081
2021-03-30,1082,Midtjylland,5526,1082
2021-03-30,1083,Syddanmark,2348,1083
2021-03-30,1084,Hovedstaden,9043,1084
2021-03-30,1085,Sjælland,4738,1085
2021-03-31,1081,Nordjylland,62,1081
2021-03-31,1082,Midtjylland,7260,1082
2021-03-31,1083,Syddanmark,2164,1083
2021-03-31,1084,Hovedstaden,2594,1084
2021-03-31,1085,Sjælland,1044,1085
2021-04-01,1081,Nordjylland,1,1081
2021-04-01,1082,Midtjylland,1199,1082
2021-04-01,1083,Syddanmark,1534,1083
2021-04-01,1084,Hovedstaden,436,1084
2021-04-01,1085,Sjælland,1013,1085
2021-04-02,1081,Nordjylland,1576,1081
2021-04-02,1082,Midtjylland,1231,1082
2021-04-02,1083,Syddanmark,1725,1083
2021-04-02,1084,Hovedstaden,345,1084
2021-04-02,1085,Sjælland,13,1085
2021-04-03,1081,Nordjylland,801,1081
2021-04-03,1082,Midtjylland,368,1082
2021-04-03,1083,Syddanmark,1790,1083
2021-04-03,1084,Hovedstaden,5738,1084
2021-04-03,1085,Sjælland,3436,1085
2021-04-04,1081,Nordjylland,1339,1081
2021-04-04,1082,Midtjylland,831,1082
2021-04-04,1083,Syddanmark,1382,1083
2021-04-04,1084,Hovedstaden,5653,1084
2021-04-04,1085,Sjælland,2499,1085
2021-04-05,1081,Nordjylland,1776,1081
2021-04-05,1082,Midtjylland,929,1082
2021-04-05,1083,Syddanmark,2274,1083
2021-04-05,1084,Hovedstaden,5759,1084
2021-04-05,1085,Sjælland,1576,1085
2021-04-06,1081,Nordjylland,2172,1081
2021-04-06,1082,Midtjylland,5186,1082
2021-04-06,1083,Syddanmark,2485,1083
2021-04-06,1084,Hovedstaden,3432,1084
2021-04-06,1085,Sjælland,2731,1085
2021-04-07,1081,Nordjylland,1542,1081
2021-04-07,1082,Midtjylland,6715,1082
2021-04-07,1083,Syddanmark,4042,1083
2021-04-07,1084,Hovedstaden,3395,1084
2021-04-07,1085,Sjælland,907,1085
2021-04-08,1081,Nordjylland,1228,1081
2021-04-08,1082,Midtjylland,4893,1082
2021-04-08,1083,Syddanmark,2238,1083
2021-04-08,1084,Hovedstaden,3453,1084
2021-04-08,1085,Sjælland,1880,1085
2021-04-09,1081,Nordjylland,531,1081
2021-04-09,1082,Midtjylland,1574,1082
2021-04-09,1083,Syddanmark,4307,1083
2021-04-09,1084,Hovedstaden,6005,1084
2021-04-09,1085,Sjælland,4059,1085
2021-04-10,1081,Nordjylland,1568,1081
2021-04-10,1082,Midtjylland,125,1082
2021-04-10,1083,Syddanmark,3046,1083
2021-04-10,1084,Hovedstaden,8932,1084
2021-04-10,1085,Sjælland,3082,1085
2021-04-11,1081,Nordjylland,713,1081
2021-04-11,1082,Midtjylland,174,1082
2021-04-11,1083,Syddanmark,2546,1083
2021-04-11,1084,Hovedstaden,8883,1084
2021-04-11,1085,Sjælland,2566,1085
2021-04-12,1081,Nordjylland,9832,1081
2021-04-12,1082,Midtjylland,20951,1082
2021-04-12,1083,Syddanmark,19932,1083
2021-04-12,1084,Hovedstaden,26268,1084
2021-04-12,1085,Sjælland,16980,1085
2021-04-13,1081,Nordjylland,953,1081
2021-04-13,1082,Midtjylland,5729,1082
2021-04-13,1083,Syddanmark,2818,1083
2021-04-13,1084,Hovedstaden,6670,1084
2021-04-13,1085,Sjælland,2326,1085
2021-04-14,1081,Nordjylland,1401,1081
2021-04-14,1082,Midtjylland,4100,1082
2021-04-14,1083,Syddanmark,2200,1083
2021-04-14,1084,Hovedstaden,1536,1084
2021-04-14,1085,Sjælland,2160,1085
2021-04-15,1081,Nordjylland,562,1081
2021-04-15,1082,Midtjylland,4836,1082
2021-04-15,1083,Syddanmark,2464,1083
2021-04-15,1084,Hovedstaden,5536,1084
2021-04-15,1085,Sjælland,1860,1085
2021-04-16,1081,Nordjylland,3447,1081
2021-04-16,1082,Midtjylland,2748,1082
2021-04-16,1083,Syddanmark,5433,1083
2021-04-16,1084,Hovedstaden,4147,1084
2021-04-16,1085,Sjælland,1640,1085
2021-04-17,1081,Nordjylland,2849,1081
2021-04-17,1082,Midtjylland,1192,1082
2021-04-17,1083,Syddanmark,4651,1083
2021-04-17,1084,Hovedstaden,7761,1084
2021-04-17,1085,Sjælland,2343,1085
2021-04-18,1081,Nordjylland,1332,1081
2021-04-18,1082,Midtjylland,615,1082
2021-04-18,1083,Syddanmark,4092,1083
2021-04-18,1084,Hovedstaden,7390,1084
2021-04-18,1085,Sjælland,1061,1085
2021-04-19,1081,Nordjylland,2290,1081
2021-04-19,1082,Midtjylland,4879,1082
2021-04-19,1083,Syddanmark,5868,1083
2021-04-19,1084,Hovedstaden,8680,1084
2021-04-19,1085,Sjælland,3047,1085
2021-04-20,1081,Nordjylland,1236,1081
2021-04-20,1082,Midtjylland,7918,1082
2021-04-20,1083,Syddanmark,6009,1083
2021-04-20,1084,Hovedstaden,4572,1084
2021-04-20,1085,Sjælland,2240,1085
2021-04-21,1081,Nordjylland,2972,1081
2021-04-21,1082,Midtjylland,5480,1082
2021-04-21,1083,Syddanmark,5298,1083
2021-04-21,1084,Hovedstaden,5527,1084
2021-04-21,1085,Sjælland,3182,1085
2021-04-22,1081,Nordjylland,2624,1081
2021-04-22,1082,Midtjylland,6989,1082
2021-04-22,1083,Syddanmark,4784,1083
2021-04-22,1084,Hovedstaden,11202,1084
2021-04-22,1085,Sjælland,2569,1085
2021-04-23,1081,Nordjylland,4185,1081
2021-04-23,1082,Midtjylland,4589,1082
2021-04-23,1083,Syddanmark,5665,1083
2021-04-23,1084,Hovedstaden,3707,1084
2021-04-23,1085,Sjælland,4024,1085
2021-04-24,1081,Nordjylland,3139,1081
2021-04-24,1082,Midtjylland,250,1082
2021-04-24,1083,Syddanmark,3901,1083
2021-04-24,1084,Hovedstaden,6729,1084
2021-04-24,1085,Sjælland,889,1085
2021-04-25,1081,Nordjylland,1137,1081
2021-04-25,1082,Midtjylland,250,1082
2021-04-25,1083,Syddanmark,4249,1083
2021-04-25,1084,Hovedstaden,8230,1084
2021-04-25,1085,Sjælland,1315,1085
2021-04-26,1081,Nordjylland,1419,1081
2021-04-26,1082,Midtjylland,10165,1082
2021-04-26,1083,Syddanmark,6299,1083
2021-04-26,1084,Hovedstaden,10438,1084
2021-04-26,1085,Sjælland,3169,1085
2021-04-27,1081,Nordjylland,3696,1081
2021-04-27,1082,Midtjylland,9225,1082
2021-04-27,1083,Syddanmark,7059,1083
2021-04-27,1084,Hovedstaden,4322,1084
2021-04-27,1085,Sjælland,2251,1085
2021-04-28,1081,Nordjylland,1360,1081
2021-04-28,1082,Midtjylland,8212,1082
