"Dato";"Kommune";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2021-01-01;Halsnæs;3;0;0;31412;92;0;0;0.29;0.00;0.00
2021-01-01;Hedensted;12;0;0;47195;70;0;0;0.15;0.00;0.00
2021-01-01;Helsingør;3;0;0;62878;197;0;0;0.31;0.00;0.00
2021-01-01;Herlev;11;0;0;28783;349;0;0;1.21;0.00;0.00
2021-01-01;Herning;2;0;0;89430;145;0;0;0.16;0.00;0.00
2021-01-01;Hillerød;3;0;0;53370;342;0;0;0.64;0.00;0.00
2021-01-01;Holbæk;41;0;0;72942;615;0;0;0.84;0.00;0.00
2021-01-01;Horsens;3;0;0;95065;148;0;0;0.16;0.00;0.00
2021-01-01;Hvidovre;33;0;0;53212;330;0;0;0.62;0.00;0.00
2021-01-01;Høje Tåstrup;13;0;0;53500;220;0;0;0.41;0.00;0.00
2021-01-01;Hørsholm;2;0;0;24740;94;0;0;0.38;0.00;0.00
2021-01-01;Ikast-Brande;1;0;0;42014;138;0;0;0.33;0.00;0.00
2021-01-01;Ishøj;2;0;0;23271;158;0;0;0.68;0.00;0.00
2021-01-01;Kalundborg;11;0;0;48438;378;0;0;0.78;0.00;0.00
2021-01-01;Kolding;12;0;0;93770;623;0;0;0.66;0.00;0.00
2021-01-01;København;789;0;0;647073;5493;0;0;0.85;0.00;0.00
2021-01-01;Køge;4;0;0;61760;429;0;0;0.69;0.00;0.00
2021-01-01;Lejre;4;0;0;28593;123;0;0;0.43;0.00;0.00
2021-01-01;Lolland;14;0;0;40017;76;0;0;0.19;0.00;0.00
2021-01-01;Lyngby-Taarbæk;9;0;0;57966;299;0;0;0.52;0.00;0.00
2021-01-01;Mariagerfjord;4;0;0;41649;419;0;0;1.01;0.00;0.00
2021-01-01;Middelfart;6;0;0;39689;255;0;0;0.64;0.00;0.00
2021-01-01;Norddjurs;1;0;0;36969;30;0;0;0.08;0.00;0.00
