"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2021-07-22;40-49;Hovedstaden;306;6790
2021-07-22;50-59;Hovedstaden;121;931
2021-07-22;60-69;Hovedstaden;38;172
2021-07-22;70-79;Hovedstaden;8;76
2021-07-22;80-89;Hovedstaden;6;19
2021-07-22;90+;Hovedstaden;1;2
2021-07-22;10-19;Sjælland;914;723
2021-07-22;20-29;Sjælland;427;1322
2021-07-22;30-39;Sjælland;1066;195
2021-07-22;40-49;Sjælland;182;2911
2021-07-22;50-59;Sjælland;57;758
2021-07-22;60-69;Sjælland;24;126
2021-07-22;70-79;Sjælland;9;31
2021-07-22;80-89;Sjælland;5;8
;;NA;0;1
2021-07-23;10-19;Nordjylland;369;488
2021-07-23;20-29;Nordjylland;433;492
2021-07-23;30-39;Nordjylland;1299;104
2021-07-23;40-49;Nordjylland;63;1066
2021-07-23;50-59;Nordjylland;18;1376
2021-07-23;60-69;Nordjylland;8;64
2021-07-23;70-79;Nordjylland;3;6
;;NA;0;1
2021-07-23;10-19;Midtjylland;1915;2004
2021-07-23;20-29;Midtjylland;2061;2476
2021-07-23;30-39;Midtjylland;2706;125
2021-07-23;40-49;Midtjylland;481;3917
2021-07-23;50-59;Midtjylland;134;886
2021-07-23;60-69;Midtjylland;45;105
2021-07-23;70-79;Midtjylland;20;28
2021-07-23;80-89;Midtjylland;8;8
2021-07-23;90+;Midtjylland;1;3
2021-07-23;10-19;Syddanmark;1425;1698
2021-07-23;20-29;Syddanmark;1466;1587
2021-07-23;30-39;Syddanmark;2667;100
2021-07-23;40-49;Syddanmark;519;4141
2021-07-23;50-59;Syddanmark;117;1783
2021-07-23;60-69;Syddanmark;51;190
2021-07-23;70-79;Syddanmark;10;46
2021-07-23;80-89;Syddanmark;3;12
2021-07-23;90+;Syddanmark;1;1
2021-07-23;10-19;Hovedstaden;1793;997
2021-07-23;20-29;Hovedstaden;1866;5909
2021-07-23;30-39;Hovedstaden;2176;923
2021-07-23;40-49;Hovedstaden;507;6584
2021-07-23;50-59;Hovedstaden;189;512
2021-07-23;60-69;Hovedstaden;68;144
