"2. stik dato";"regionskode_current";"Regionsnavn";"Antal 2.stik";"regionskode_num"
2021-03-20;1083;Syddanmark;2516;1083
2021-03-20;1084;Hovedstaden;91;1084
2021-03-20;1085;Sjælland;327;1085
2021-03-21;1081;Nordjylland;8;1081
2021-03-21;1082;Midtjylland;16;1082
2021-03-21;1083;Syddanmark;2399;1083
2021-03-21;1084;Hovedstaden;2030;1084
2021-03-21;1085;Sjælland;70;1085
2021-03-22;1081;Nordjylland;1327;1081
2021-03-22;1082;Midtjylland;2671;1082
2021-03-22;1083;Syddanmark;2151;1083
2021-03-22;1084;Hovedstaden;84;1084
2021-03-22;1085;Sjælland;1256;1085
2021-03-23;1081;Nordjylland;2174;1081
2021-03-23;1082;Midtjylland;3252;1082
2021-03-23;1083;Syddanmark;1319;1083
2021-03-23;1084;Hovedstaden;125;1084
2021-03-23;1085;Sjælland;473;1085
2021-03-24;1081;Nordjylland;417;1081
2021-03-24;1082;Midtjylland;1648;1082
2021-03-24;1083;Syddanmark;1179;1083
2021-03-24;1084;Hovedstaden;8271;1084
2021-03-24;1085;Sjælland;1458;1085
2021-03-25;1081;Nordjylland;213;1081
2021-03-25;1082;Midtjylland;1690;1082
2021-03-25;1083;Syddanmark;1235;1083
2021-03-25;1084;Hovedstaden;4361;1084
2021-03-25;1085;Sjælland;645;1085
2021-03-26;1081;Nordjylland;41;1081
2021-03-26;1082;Midtjylland;1349;1082
2021-03-26;1083;Syddanmark;3215;1083
2021-03-26;1084;Hovedstaden;2571;1084
2021-03-26;1085;Sjælland;403;1085
2021-03-27;1081;Nordjylland;265;1081
2021-03-27;1082;Midtjylland;175;1082
2021-03-27;1083;Syddanmark;2265;1083
2021-03-27;1084;Hovedstaden;45;1084
2021-03-27;1085;Sjælland;250;1085
2021-03-28;1081;Nordjylland;22;1081
2021-03-28;1082;Midtjylland;154;1082
2021-03-28;1083;Syddanmark;2488;1083
2021-03-28;1084;Hovedstaden;43;1084
2021-03-28;1085;Sjælland;14;1085
2021-03-29;1081;Nordjylland;116;1081
2021-03-29;1082;Midtjylland;2331;1082
2021-03-29;1083;Syddanmark;2415;1083
2021-03-29;1084;Hovedstaden;528;1084
2021-03-29;1085;Sjælland;593;1085
2021-03-30;1081;Nordjylland;305;1081
2021-03-30;1082;Midtjylland;2873;1082
2021-03-30;1083;Syddanmark;1914;1083
2021-03-30;1084;Hovedstaden;266;1084
2021-03-30;1085;Sjælland;504;1085
2021-03-31;1081;Nordjylland;1722;1081
2021-03-31;1082;Midtjylland;1611;1082
2021-03-31;1083;Syddanmark;1196;1083
2021-03-31;1084;Hovedstaden;3645;1084
2021-03-31;1085;Sjælland;1213;1085
2021-04-01;1081;Nordjylland;35;1081
2021-04-01;1082;Midtjylland;370;1082
2021-04-01;1083;Syddanmark;779;1083
2021-04-01;1084;Hovedstaden;4532;1084
2021-04-01;1085;Sjælland;982;1085
2021-04-02;1081;Nordjylland;540;1081
2021-04-02;1082;Midtjylland;331;1082
2021-04-02;1083;Syddanmark;1857;1083
2021-04-02;1084;Hovedstaden;3599;1084
2021-04-02;1085;Sjælland;462;1085
2021-04-03;1081;Nordjylland;421;1081
2021-04-03;1082;Midtjylland;47;1082
2021-04-03;1083;Syddanmark;1003;1083
2021-04-03;1084;Hovedstaden;96;1084
2021-04-03;1085;Sjælland;572;1085
2021-04-04;1081;Nordjylland;481;1081
2021-04-04;1082;Midtjylland;57;1082
2021-04-04;1083;Syddanmark;901;1083
2021-04-04;1084;Hovedstaden;51;1084
2021-04-04;1085;Sjælland;251;1085
2021-04-05;1081;Nordjylland;577;1081
2021-04-05;1082;Midtjylland;143;1082
2021-04-05;1083;Syddanmark;510;1083
2021-04-05;1084;Hovedstaden;41;1084
2021-04-05;1085;Sjælland;13;1085
2021-04-06;1081;Nordjylland;124;1081
2021-04-06;1082;Midtjylland;1918;1082
2021-04-06;1083;Syddanmark;1809;1083
2021-04-06;1084;Hovedstaden;206;1084
