"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2021-12-06;40-49;Sjælland;56;100
2021-12-06;50-59;Sjælland;28;40
2021-12-06;60-69;Sjælland;20;23
2021-12-06;70-79;Sjælland;4;5
2021-12-06;80-89;Sjælland;1;5
2021-12-07;0-9;Nordjylland;231;0
2021-12-07;10-19;Nordjylland;413;158
2021-12-07;20-29;Nordjylland;66;159
2021-12-07;30-39;Nordjylland;66;148
2021-12-07;40-49;Nordjylland;32;59
2021-12-07;50-59;Nordjylland;17;27
2021-12-07;60-69;Nordjylland;7;12
2021-12-07;70-79;Nordjylland;1;3
2021-12-07;80-89;Nordjylland;1;0
2021-12-07;90+;Nordjylland;1;0
2021-12-07;0-9;Midtjylland;1118;0
2021-12-07;10-19;Midtjylland;1105;349
2021-12-07;20-29;Midtjylland;239;378
2021-12-07;30-39;Midtjylland;169;263
2021-12-07;40-49;Midtjylland;61;119
2021-12-07;50-59;Midtjylland;42;53
2021-12-07;60-69;Midtjylland;14;23
2021-12-07;70-79;Midtjylland;3;3
2021-12-07;80-89;Midtjylland;7;2
;;NA;0;1
2021-12-07;0-9;Syddanmark;1117;2
2021-12-07;10-19;Syddanmark;1014;240
2021-12-07;20-29;Syddanmark;171;249
2021-12-07;30-39;Syddanmark;181;252
2021-12-07;40-49;Syddanmark;66;114
2021-12-07;50-59;Syddanmark;44;65
2021-12-07;60-69;Syddanmark;19;25
2021-12-07;70-79;Syddanmark;2;3
2021-12-07;80-89;Syddanmark;3;6
;;NA;0;2
2021-12-07;0-9;Hovedstaden;936;0
2021-12-07;10-19;Hovedstaden;1120;328
2021-12-07;20-29;Hovedstaden;248;489
2021-12-07;30-39;Hovedstaden;225;425
2021-12-07;40-49;Hovedstaden;115;154
2021-12-07;50-59;Hovedstaden;70;65
2021-12-07;60-69;Hovedstaden;26;25
2021-12-07;70-79;Hovedstaden;13;10
2021-12-07;80-89;Hovedstaden;7;4
2021-12-07;90+;Hovedstaden;2;2
2021-12-07;0-9;Sjælland;433;0
2021-12-07;10-19;Sjælland;528;141
2021-12-07;20-29;Sjælland;81;100
2021-12-07;30-39;Sjælland;69;125
2021-12-07;40-49;Sjælland;25;63
2021-12-07;50-59;Sjælland;23;30
2021-12-07;60-69;Sjælland;11;19
2021-12-07;70-79;Sjælland;5;7
2021-12-07;80-89;Sjælland;3;2
2021-12-08;0-9;Nordjylland;465;0
2021-12-08;10-19;Nordjylland;609;91
2021-12-08;20-29;Nordjylland;76;94
2021-12-08;30-39;Nordjylland;51;90
2021-12-08;40-49;Nordjylland;22;26
2021-12-08;50-59;Nordjylland;10;22
2021-12-08;60-69;Nordjylland;7;6
2021-12-08;70-79;Nordjylland;2;8
2021-12-08;80-89;Nordjylland;1;0
2021-12-08;0-9;Midtjylland;1091;0
2021-12-08;10-19;Midtjylland;844;412
2021-12-08;20-29;Midtjylland;174;386
2021-12-08;30-39;Midtjylland;167;331
2021-12-08;40-49;Midtjylland;50;132
2021-12-08;50-59;Midtjylland;35;74
2021-12-08;60-69;Midtjylland;20;18
2021-12-08;70-79;Midtjylland;5;8
2021-12-08;80-89;Midtjylland;8;2
2021-12-08;90+;Midtjylland;2;1
2021-12-08;0-9;Syddanmark;1207;0
2021-12-08;10-19;Syddanmark;911;194
2021-12-08;20-29;Syddanmark;157;204
2021-12-08;30-39;Syddanmark;122;203
2021-12-08;40-49;Syddanmark;53;111
2021-12-08;50-59;Syddanmark;48;57
2021-12-08;60-69;Syddanmark;21;22
2021-12-08;70-79;Syddanmark;14;9
2021-12-08;80-89;Syddanmark;1;2
2021-12-08;90+;Syddanmark;1;1
2021-12-08;0-9;Hovedstaden;1246;0
2021-12-08;10-19;Hovedstaden;1059;442
2021-12-08;20-29;Hovedstaden;358;556
2021-12-08;30-39;Hovedstaden;263;490
2021-12-08;40-49;Hovedstaden;106;184
2021-12-08;50-59;Hovedstaden;66;92
2021-12-08;60-69;Hovedstaden;31;31
2021-12-08;70-79;Hovedstaden;26;12
2021-12-08;80-89;Hovedstaden;7;2
2021-12-08;90+;Hovedstaden;2;2
2021-12-08;0-9;Sjælland;512;0
2021-12-08;10-19;Sjælland;672;187
2021-12-08;20-29;Sjælland;96;189
2021-12-08;30-39;Sjælland;110;269
2021-12-08;40-49;Sjælland;60;133
2021-12-08;50-59;Sjælland;34;66
2021-12-08;60-69;Sjælland;23;28
2021-12-08;70-79;Sjælland;4;17
