"1. stik dato";"regionskode_current";"Regionsnavn";"Antal 1.stik";"regionskode_num"
2021-02-15;1081;Nordjylland;141;1081
2021-02-15;1082;Midtjylland;4184;1082
2021-02-15;1083;Syddanmark;2497;1083
2021-02-15;1084;Hovedstaden;3790;1084
2021-02-15;1085;Sjælland;2497;1085
2021-02-16;1081;Nordjylland;198;1081
2021-02-16;1082;Midtjylland;3568;1082
2021-02-16;1083;Syddanmark;1888;1083
2021-02-16;1084;Hovedstaden;4278;1084
2021-02-16;1085;Sjælland;2640;1085
2021-02-17;1081;Nordjylland;1233;1081
2021-02-17;1082;Midtjylland;2325;1082
2021-02-17;1083;Syddanmark;2212;1083
2021-02-17;1084;Hovedstaden;1078;1084
2021-02-17;1085;Sjælland;3110;1085
2021-02-18;1081;Nordjylland;1789;1081
2021-02-18;1082;Midtjylland;2140;1082
2021-02-18;1083;Syddanmark;1968;1083
2021-02-18;1084;Hovedstaden;3567;1084
2021-02-18;1085;Sjælland;1678;1085
2021-02-19;1081;Nordjylland;2032;1081
2021-02-19;1082;Midtjylland;3243;1082
2021-02-19;1083;Syddanmark;3174;1083
2021-02-19;1084;Hovedstaden;3486;1084
2021-02-19;1085;Sjælland;1491;1085
2021-02-20;1081;Nordjylland;2390;1081
2021-02-20;1082;Midtjylland;1078;1082
2021-02-20;1083;Syddanmark;2373;1083
2021-02-20;1084;Hovedstaden;2802;1084
2021-02-20;1085;Sjælland;1340;1085
2021-02-21;1081;Nordjylland;1645;1081
2021-02-21;1082;Midtjylland;1018;1082
2021-02-21;1083;Syddanmark;2808;1083
2021-02-21;1084;Hovedstaden;3085;1084
2021-02-21;1085;Sjælland;1781;1085
2021-02-22;1081;Nordjylland;793;1081
2021-02-22;1082;Midtjylland;3391;1082
2021-02-22;1083;Syddanmark;3603;1083
2021-02-22;1084;Hovedstaden;3514;1084
2021-02-22;1085;Sjælland;1750;1085
2021-02-23;1081;Nordjylland;395;1081
2021-02-23;1082;Midtjylland;5056;1082
2021-02-23;1083;Syddanmark;3099;1083
2021-02-23;1084;Hovedstaden;3512;1084
2021-02-23;1085;Sjælland;1884;1085
2021-02-24;1081;Nordjylland;594;1081
2021-02-24;1082;Midtjylland;3575;1082
2021-02-24;1083;Syddanmark;3053;1083
2021-02-24;1084;Hovedstaden;4184;1084
2021-02-24;1085;Sjælland;1868;1085
2021-02-25;1081;Nordjylland;1941;1081
2021-02-25;1082;Midtjylland;2089;1082
2021-02-25;1083;Syddanmark;2728;1083
2021-02-25;1084;Hovedstaden;6075;1084
2021-02-25;1085;Sjælland;1472;1085
2021-02-26;1081;Nordjylland;5235;1081
2021-02-26;1082;Midtjylland;8418;1082
2021-02-26;1083;Syddanmark;8540;1083
2021-02-26;1084;Hovedstaden;8814;1084
2021-02-26;1085;Sjælland;4195;1085
2021-02-27;1081;Nordjylland;12;1081
2021-02-27;1082;Midtjylland;665;1082
2021-02-27;1083;Syddanmark;1904;1083
2021-02-27;1084;Hovedstaden;2998;1084
2021-02-27;1085;Sjælland;847;1085
2021-02-28;1081;Nordjylland;2152;1081
2021-02-28;1082;Midtjylland;963;1082
2021-02-28;1083;Syddanmark;1959;1083
2021-02-28;1084;Hovedstaden;4580;1084
2021-02-28;1085;Sjælland;886;1085
2021-03-01;1081;Nordjylland;2588;1081
2021-03-01;1082;Midtjylland;4329;1082
2021-03-01;1083;Syddanmark;3688;1083
2021-03-01;1084;Hovedstaden;6019;1084
2021-03-01;1085;Sjælland;2483;1085
2021-03-02;1081;Nordjylland;754;1081
2021-03-02;1082;Midtjylland;4683;1082
2021-03-02;1083;Syddanmark;2959;1083
2021-03-02;1084;Hovedstaden;6593;1084
2021-03-02;1085;Sjælland;1363;1085
2021-03-03;1081;Nordjylland;733;1081
2021-03-03;1082;Midtjylland;2949;1082
2021-03-03;1083;Syddanmark;2873;1083
2021-03-03;1084;Hovedstaden;4477;1084
2021-03-03;1085;Sjælland;1782;1085
2021-03-04;1081;Nordjylland;514;1081
2021-03-04;1082;Midtjylland;3642;1082
2021-03-04;1083;Syddanmark;3003;1083
2021-03-04;1084;Hovedstaden;8023;1084
2021-03-04;1085;Sjælland;2004;1085
2021-03-05;1081;Nordjylland;3867;1081
2021-03-05;1082;Midtjylland;2086;1082
2021-03-05;1083;Syddanmark;3915;1083
2021-03-05;1084;Hovedstaden;4598;1084
2021-03-05;1085;Sjælland;1755;1085
2021-03-06;1081;Nordjylland;2129;1081
2021-03-06;1082;Midtjylland;1206;1082
2021-03-06;1083;Syddanmark;3066;1083
2021-03-06;1084;Hovedstaden;6005;1084
2021-03-06;1085;Sjælland;1895;1085
2021-03-07;1081;Nordjylland;1313;1081
2021-03-07;1082;Midtjylland;235;1082
2021-03-07;1083;Syddanmark;2545;1083
2021-03-07;1084;Hovedstaden;5920;1084
2021-03-07;1085;Sjælland;1634;1085
2021-03-08;1081;Nordjylland;142;1081
2021-03-08;1082;Midtjylland;3938;1082
2021-03-08;1083;Syddanmark;2811;1083
2021-03-08;1084;Hovedstaden;1253;1084
2021-03-08;1085;Sjælland;1204;1085
2021-03-09;1081;Nordjylland;641;1081
2021-03-09;1082;Midtjylland;4098;1082
2021-03-09;1083;Syddanmark;2073;1083
2021-03-09;1084;Hovedstaden;2467;1084
2021-03-09;1085;Sjælland;1387;1085
2021-03-10;1081;Nordjylland;1144;1081
2021-03-10;1082;Midtjylland;2891;1082
2021-03-10;1083;Syddanmark;2949;1083
2021-03-10;1084;Hovedstaden;3009;1084
2021-03-10;1085;Sjælland;1810;1085
2021-03-11;1081;Nordjylland;918;1081
2021-03-11;1082;Midtjylland;996;1082
2021-03-11;1083;Syddanmark;1124;1083
2021-03-11;1084;Hovedstaden;598;1084
2021-03-11;1085;Sjælland;743;1085
2021-03-12;1081;Nordjylland;260;1081
2021-03-12;1082;Midtjylland;737;1082
2021-03-12;1083;Syddanmark;965;1083
2021-03-12;1084;Hovedstaden;978;1084
2021-03-12;1085;Sjælland;270;1085
2021-03-13;1081;Nordjylland;141;1081
2021-03-13;1082;Midtjylland;349;1082
2021-03-13;1083;Syddanmark;1203;1083
2021-03-13;1084;Hovedstaden;2226;1084
2021-03-13;1085;Sjælland;502;1085
2021-03-14;1081;Nordjylland;13;1081
2021-03-14;1082;Midtjylland;30;1082
2021-03-14;1083;Syddanmark;855;1083
2021-03-14;1084;Hovedstaden;89;1084
2021-03-14;1085;Sjælland;205;1085
2021-03-15;1081;Nordjylland;157;1081
2021-03-15;1082;Midtjylland;963;1082
2021-03-15;1083;Syddanmark;1184;1083
2021-03-15;1084;Hovedstaden;337;1084
2021-03-15;1085;Sjælland;101;1085
2021-03-16;1081;Nordjylland;1262;1081
2021-03-16;1082;Midtjylland;1607;1082
2021-03-16;1083;Syddanmark;1128;1083
2021-03-16;1084;Hovedstaden;887;1084
2021-03-16;1085;Sjælland;1735;1085
2021-03-17;1081;Nordjylland;1395;1081
2021-03-17;1082;Midtjylland;3633;1082
2021-03-17;1083;Syddanmark;2003;1083
2021-03-17;1084;Hovedstaden;1911;1084
2021-03-17;1085;Sjælland;1536;1085
2021-03-18;1081;Nordjylland;1621;1081
2021-03-18;1082;Midtjylland;3395;1082
2021-03-18;1083;Syddanmark;1757;1083
2021-03-18;1084;Hovedstaden;5752;1084
2021-03-18;1085;Sjælland;1774;1085
2021-03-19;1081;Nordjylland;1096;1081
2021-03-19;1082;Midtjylland;1771;1082
2021-03-19;1083;Syddanmark;1528;1083
2021-03-19;1084;Hovedstaden;2920;1084
2021-03-19;1085;Sjælland;347;1085
2021-03-20;1081;Nordjylland;13;1081
2021-03-20;1082;Midtjylland;862;1082
2021-03-20;1083;Syddanmark;900;1083
2021-03-20;1084;Hovedstaden;176;1084
2021-03-20;1085;Sjælland;989;1085
2021-03-21;1081;Nordjylland;4;1081
2021-03-21;1082;Midtjylland;622;1082
2021-03-21;1083;Syddanmark;732;1083
2021-03-21;1084;Hovedstaden;2225;1084
2021-03-21;1085;Sjælland;1306;1085
2021-03-22;1081;Nordjylland;133;1081
2021-03-22;1082;Midtjylland;2150;1082
2021-03-22;1083;Syddanmark;954;1083
2021-03-22;1084;Hovedstaden;123;1084
2021-03-22;1085;Sjælland;680;1085
2021-03-23;1081;Nordjylland;361;1081
2021-03-23;1082;Midtjylland;952;1082
2021-03-23;1083;Syddanmark;782;1083
2021-03-23;1084;Hovedstaden;2001;1084
2021-03-23;1085;Sjælland;1873;1085
2021-03-24;1081;Nordjylland;1426;1081
2021-03-24;1082;Midtjylland;2847;1082
2021-03-24;1083;Syddanmark;1351;1083
2021-03-24;1084;Hovedstaden;1494;1084
2021-03-24;1085;Sjælland;2525;1085
2021-03-25;1081;Nordjylland;1002;1081
2021-03-25;1082;Midtjylland;2456;1082
2021-03-25;1083;Syddanmark;1473;1083
2021-03-25;1084;Hovedstaden;1784;1084
2021-03-25;1085;Sjælland;873;1085
2021-03-26;1081;Nordjylland;1091;1081
2021-03-26;1082;Midtjylland;1542;1082
2021-03-26;1083;Syddanmark;1146;1083
2021-03-26;1084;Hovedstaden;902;1084
2021-03-26;1085;Sjælland;1374;1085
2021-03-27;1081;Nordjylland;2289;1081
2021-03-27;1082;Midtjylland;443;1082
2021-03-27;1083;Syddanmark;1105;1083
2021-03-27;1084;Hovedstaden;2848;1084
2021-03-27;1085;Sjælland;3130;1085
2021-03-28;1081;Nordjylland;2894;1081
2021-03-28;1082;Midtjylland;827;1082
2021-03-28;1083;Syddanmark;1062;1083
2021-03-28;1084;Hovedstaden;2922;1084
2021-03-28;1085;Sjælland;2910;1085
2021-03-29;1081;Nordjylland;114;1081
2021-03-29;1082;Midtjylland;4424;1082
2021-03-29;1083;Syddanmark;1545;1083
2021-03-29;1084;Hovedstaden;8005;1084
2021-03-29;1085;Sjælland;3577;1085
2021-03-30;1081;Nordjylland;75;1081
2021-03-30;1082;Midtjylland;5403;1082
