"Første vacc. dato";"regionskode_current";"Regionsnavn";"Antal første vacc.";"regionskode_num"
2021-03-22;1082;Midtjylland;2165;1082
2021-03-22;1083;Syddanmark;962;1083
2021-03-22;1084;Hovedstaden;122;1084
2021-03-22;1085;Sjælland;683;1085
2021-03-23;1081;Nordjylland;360;1081
2021-03-23;1082;Midtjylland;961;1082
2021-03-23;1083;Syddanmark;788;1083
2021-03-23;1084;Hovedstaden;2014;1084
2021-03-23;1085;Sjælland;1904;1085
2021-03-24;1081;Nordjylland;1430;1081
2021-03-24;1082;Midtjylland;2871;1082
2021-03-24;1083;Syddanmark;1371;1083
2021-03-24;1084;Hovedstaden;1512;1084
2021-03-24;1085;Sjælland;2556;1085
2021-03-25;1081;Nordjylland;1015;1081
2021-03-25;1082;Midtjylland;2466;1082
2021-03-25;1083;Syddanmark;1488;1083
2021-03-25;1084;Hovedstaden;1806;1084
2021-03-25;1085;Sjælland;889;1085
2021-03-26;1081;Nordjylland;1097;1081
2021-03-26;1082;Midtjylland;1557;1082
2021-03-26;1083;Syddanmark;1154;1083
2021-03-26;1084;Hovedstaden;916;1084
2021-03-26;1085;Sjælland;1392;1085
2021-03-27;1081;Nordjylland;2304;1081
2021-03-27;1082;Midtjylland;440;1082
2021-03-27;1083;Syddanmark;1108;1083
2021-03-27;1084;Hovedstaden;2873;1084
2021-03-27;1085;Sjælland;3153;1085
2021-03-28;1081;Nordjylland;2910;1081
2021-03-28;1082;Midtjylland;831;1082
2021-03-28;1083;Syddanmark;1063;1083
2021-03-28;1084;Hovedstaden;2943;1084
2021-03-28;1085;Sjælland;2930;1085
2021-03-29;1081;Nordjylland;112;1081
2021-03-29;1082;Midtjylland;4467;1082
2021-03-29;1083;Syddanmark;1547;1083
2021-03-29;1084;Hovedstaden;8057;1084
2021-03-29;1085;Sjælland;3616;1085
2021-03-30;1081;Nordjylland;74;1081
2021-03-30;1082;Midtjylland;5443;1082
2021-03-30;1083;Syddanmark;2335;1083
2021-03-30;1084;Hovedstaden;8934;1084
2021-03-30;1085;Sjælland;4644;1085
2021-03-31;1081;Nordjylland;73;1081
2021-03-31;1082;Midtjylland;7130;1082
2021-03-31;1083;Syddanmark;2160;1083
2021-03-31;1084;Hovedstaden;2603;1084
2021-03-31;1085;Sjælland;1007;1085
2021-04-01;1081;Nordjylland;12;1081
2021-04-01;1082;Midtjylland;1194;1082
2021-04-01;1083;Syddanmark;1525;1083
2021-04-01;1084;Hovedstaden;483;1084
2021-04-01;1085;Sjælland;997;1085
2021-04-02;1081;Nordjylland;1546;1081
2021-04-02;1082;Midtjylland;1226;1082
2021-04-02;1083;Syddanmark;1715;1083
2021-04-02;1084;Hovedstaden;378;1084
2021-04-02;1085;Sjælland;20;1085
2021-04-03;1081;Nordjylland;793;1081
2021-04-03;1082;Midtjylland;371;1082
2021-04-03;1083;Syddanmark;1774;1083
2021-04-03;1084;Hovedstaden;5692;1084
2021-04-03;1085;Sjælland;3402;1085
2021-04-04;1081;Nordjylland;1331;1081
2021-04-04;1082;Midtjylland;830;1082
2021-04-04;1083;Syddanmark;1363;1083
2021-04-04;1084;Hovedstaden;5597;1084
2021-04-04;1085;Sjælland;2475;1085
2021-04-05;1081;Nordjylland;1758;1081
2021-04-05;1082;Midtjylland;936;1082
2021-04-05;1083;Syddanmark;2259;1083
2021-04-05;1084;Hovedstaden;5728;1084
2021-04-05;1085;Sjælland;1568;1085
2021-04-06;1081;Nordjylland;2145;1081
2021-04-06;1082;Midtjylland;5161;1082
2021-04-06;1083;Syddanmark;2464;1083
2021-04-06;1084;Hovedstaden;3444;1084
2021-04-06;1085;Sjælland;2716;1085
2021-04-07;1081;Nordjylland;1532;1081
2021-04-07;1082;Midtjylland;6646;1082
2021-04-07;1083;Syddanmark;4016;1083
2021-04-07;1084;Hovedstaden;3450;1084
2021-04-07;1085;Sjælland;909;1085
2021-04-08;1081;Nordjylland;1228;1081
2021-04-08;1082;Midtjylland;4859;1082
2021-04-08;1083;Syddanmark;2253;1083
2021-04-08;1084;Hovedstaden;3509;1084
2021-04-08;1085;Sjælland;1876;1085
2021-04-09;1081;Nordjylland;522;1081
2021-04-09;1082;Midtjylland;1591;1082
2021-04-09;1083;Syddanmark;4272;1083
2021-04-09;1084;Hovedstaden;5994;1084
2021-04-09;1085;Sjælland;4019;1085
2021-04-10;1081;Nordjylland;1557;1081
2021-04-10;1082;Midtjylland;143;1082
2021-04-10;1083;Syddanmark;3023;1083
2021-04-10;1084;Hovedstaden;8907;1084
2021-04-10;1085;Sjælland;3059;1085
2021-04-11;1081;Nordjylland;710;1081
2021-04-11;1082;Midtjylland;182;1082
2021-04-11;1083;Syddanmark;2532;1083
2021-04-11;1084;Hovedstaden;8866;1084
2021-04-11;1085;Sjælland;2563;1085
2021-04-12;1081;Nordjylland;9745;1081
2021-04-12;1082;Midtjylland;20803;1082
2021-04-12;1083;Syddanmark;19929;1083
2021-04-12;1084;Hovedstaden;26239;1084
2021-04-12;1085;Sjælland;16890;1085
2021-04-13;1081;Nordjylland;953;1081
2021-04-13;1082;Midtjylland;5727;1082
2021-04-13;1083;Syddanmark;2806;1083
2021-04-13;1084;Hovedstaden;6684;1084
2021-04-13;1085;Sjælland;2321;1085
2021-04-14;1081;Nordjylland;1405;1081
2021-04-14;1082;Midtjylland;4081;1082
2021-04-14;1083;Syddanmark;2197;1083
2021-04-14;1084;Hovedstaden;1600;1084
2021-04-14;1085;Sjælland;2155;1085
2021-04-15;1081;Nordjylland;562;1081
2021-04-15;1082;Midtjylland;4811;1082
2021-04-15;1083;Syddanmark;2466;1083
2021-04-15;1084;Hovedstaden;5562;1084
2021-04-15;1085;Sjælland;1865;1085
2021-04-16;1081;Nordjylland;3425;1081
2021-04-16;1082;Midtjylland;2741;1082
2021-04-16;1083;Syddanmark;5388;1083
2021-04-16;1084;Hovedstaden;4171;1084
2021-04-16;1085;Sjælland;1634;1085
2021-04-17;1081;Nordjylland;2829;1081
2021-04-17;1082;Midtjylland;1203;1082
2021-04-17;1083;Syddanmark;4634;1083
2021-04-17;1084;Hovedstaden;7743;1084
2021-04-17;1085;Sjælland;2339;1085
2021-04-18;1081;Nordjylland;1325;1081
2021-04-18;1082;Midtjylland;634;1082
2021-04-18;1083;Syddanmark;4073;1083
2021-04-18;1084;Hovedstaden;7368;1084
2021-04-18;1085;Sjælland;1066;1085
2021-04-19;1081;Nordjylland;2283;1081
2021-04-19;1082;Midtjylland;4870;1082
