Date;Antal_døde;running_avg_deaths;new_1;new_2;new_3;new_4;new_1_avg;new_2_avg;new_3_avg;new_4_avg;sum_1;sum_2;sum_3;sum_4;active_1;active_2;active_3;active_4
2020-04-22;14;10,0000000; 642,85714;1042,47104;1330,04926;1607,14286; 615,64626; 998,34528;1273,75088;1539,11565; 91047,61905;147644,78764;188374,38424;227619,04762;10404,7619;16872,5869;21527,0936;26011,9048
2020-04-23;10; 9,7142857; 523,80952; 849,42085;1083,74384;1309,52381; 571,42857; 926,64093;1182,26601;1428,57143; 91571,42857;148494,20849;189458,12808;228928,57143; 9571,4286;15521,2355;19802,9557;23928,5714
2020-04-24; 6; 9,2857143; 523,80952; 849,42085;1083,74384;1309,52381; 520,40816; 843,90513;1076,70654;1301,02041; 92095,23810;149343,62934;190541,87192;230238,09524; 8952,3810;14517,3745;18522,1675;22380,9524
2020-04-25; 5; 8,5714286; 523,80952; 849,42085;1083,74384;1309,52381; 469,38776; 761,16933; 971,14708;1173,46939; 92619,04762;150193,05019;191625,61576;231547,61905; 8404,7619;13629,3436;17389,1626;21011,9048
2020-04-26; 5; 8,4285714; 404,76190; 656,37066; 837,43842;1011,90476; 411,56463; 667,40210; 851,51302;1028,91156; 93023,80952;150849,42085;192463,05419;232559,52381; 7880,9524;12779,9228;16305,4187;19702,3810
2020-04-27; 9; 8,7142857; 357,14286; 579,15058; 738,91626; 892,85714; 374,14966; 606,72918; 774,10274; 935,37415; 93380,95238;151428,57143;193201,97044;233452,38095; 7500,0000;12162,1622;15517,2414;18750,0000
2020-04-28;10; 8,4285714; 309,52381; 501,93050; 640,39409; 773,80952; 323,12925; 523,99338; 668,54328; 807,82313; 93690,47619;151930,50193;193842,36453;234226,19048; 7119,0476;11544,4015;14729,0640;17797,6190
2020-04-29; 9; 7,7142857; 238,09524; 386,10039; 492,61084; 595,23810; 272,10884; 441,25758; 562,98381; 680,27211; 93928,57143;152316,60232;194334,97537;234821,42857; 6833,3333;11081,0811;14137,9310;17083,3333
2020-04-30; 9; 7,5714286; 261,90476; 424,71042; 541,87192; 654,76190; 238,09524; 386,10039; 492,61084; 595,23810; 94190,47619;152741,31274;194876,84729;235476,19048; 6619,0476;10733,5907;13694,5813;16547,6190
2020-05-01;11; 8,2857143; 166,66667; 270,27027; 344,82759; 416,66667; 221,08844; 358,52179; 457,42435; 552,72109; 94357,14286;153011,58301;195221,67488;235892,85714; 6190,4762;10038,6100;12807,8818;15476,1905
2020-05-02; 8; 8,7142857; 166,66667; 270,27027; 344,82759; 416,66667; 214,28571; 347,49035; 443,34975; 535,71429; 94523,80952;153281,85328;195566,50246;236309,52381; 5738,0952; 9305,0193;11871,9212;14345,2381
2020-05-03; 9; 9,2857143; 166,66667; 270,27027; 344,82759; 416,66667; 227,89116; 369,55323; 471,49894; 569,72789; 94690,47619;153552,12355;195911,33005;236726,19048; 5380,9524; 8725,8687;11133,0049;13452,3810
2020-05-04; 7; 9,0000000; 238,09524; 386,10039; 492,61084; 595,23810; 231,29252; 375,06895; 478,53624; 578,23129; 94928,57143;153938,22394;196403,94089;237321,42857; 4904,7619; 7953,6680;10147,7833;12261,9048
2020-05-05; 3; 8,0000000; 261,90476; 424,71042; 541,87192; 654,76190; 248,29932; 402,64755; 513,72273; 620,74830; 95190,47619;154362,93436;196945,81281;237976,19048; 4452,3810; 7220,0772; 9211,8227;11130,9524
2020-05-06; 6; 7,5714286; 333,33333; 540,54054; 689,65517; 833,33333; 278,91156; 452,28902; 577,05841; 697,27891; 95523,80952;154903,47490;197635,46798;238809,52381; 3952,3810; 6409,2664; 8177,3399; 9880,9524
2020-05-07; 6; 7,1428571; 285,71429; 463,32046; 591,13300; 714,28571; 312,92517; 507,44622; 647,43139; 782,31293; 95809,52381;155366,79537;198226,60099;239523,80952; 3476,1905; 5637,0656; 7192,1182; 8690,4762
2020-05-08; 4; 6,1428571; 285,71429; 463,32046; 591,13300; 714,28571; 333,33333; 540,54054; 689,65517; 833,33333; 96095,23810;155830,11583;198817,73399;240238,09524; 3119,0476; 5057,9151; 6453,2020; 7797,6190
