Aldersgruppe;Date;Variable;Total;Weekly_diff
30-39;2020-06-24;positive;  1826;   47
30-39;2020-06-24;testede;113645;14076
40-49;2020-06-24;positive;  2191;   56
40-49;2020-06-24;testede;115316;11363
50-59;2020-06-24;positive;  2268;   54
50-59;2020-06-24;testede;119287;10167
60-69;2020-06-24;positive;  1436;   25
60-69;2020-06-24;testede; 90667; 8139
70-79;2020-06-24;positive;  1061;   25
70-79;2020-06-24;testede; 65925; 6333
80-89;2020-06-24;positive;   825;    7
80-89;2020-06-24;testede; 30635; 2670
90+;2020-06-24;positive;   258;    1
90+;2020-06-24;testede;  7522;  602
0-9;2020-07-01;positive;   362;   13
0-9;2020-07-01;testede; 64052; 8613
10-19;2020-07-01;positive;   641;   13
10-19;2020-07-01;testede; 61641; 6997
20-29;2020-07-01;positive;  1805;   32
20-29;2020-07-01;testede;124655;12733
30-39;2020-07-01;positive;  1857;   31
30-39;2020-07-01;testede;125557;11912
40-49;2020-07-01;positive;  2211;   20
40-49;2020-07-01;testede;125128; 9812
50-59;2020-07-01;positive;  2286;   18
50-59;2020-07-01;testede;128786; 9499
60-69;2020-07-01;positive;  1452;   16
60-69;2020-07-01;testede; 98494; 7827
70-79;2020-07-01;positive;  1084;   23
70-79;2020-07-01;testede; 73038; 7113
80-89;2020-07-01;positive;   836;   11
80-89;2020-07-01;testede; 33881; 3246
90+;2020-07-01;positive;   260;    2
90+;2020-07-01;testede;  8251;  729
0-9;2020-07-08;positive;   371;    9
0-9;2020-07-08;testede; 69943; 5891
10-19;2020-07-08;positive;   648;    7
10-19;2020-07-08;testede; 69386; 7745
20-29;2020-07-08;positive;  1825;   20
20-29;2020-07-08;testede;138908;14253
30-39;2020-07-08;positive;  1877;   20
30-39;2020-07-08;testede;137371;11814
40-49;2020-07-08;positive;  2230;   19
40-49;2020-07-08;testede;135694;10566
50-59;2020-07-08;positive;  2310;   24
50-59;2020-07-08;testede;139530;10744
60-69;2020-07-08;positive;  1460;    8
60-69;2020-07-08;testede;107181; 8687
70-79;2020-07-08;positive;  1094;   10
70-79;2020-07-08;testede; 80763; 7725
80-89;2020-07-08;positive;   838;    2
80-89;2020-07-08;testede; 36999; 3118
90+;2020-07-08;positive;   263;    3
90+;2020-07-08;testede;  8869;  618
0-9;2020-07-15;positive;   377;    6
0-9;2020-07-15;testede; 73759; 3816
10-19;2020-07-15;positive;   682;   34
10-19;2020-07-15;testede; 76050; 6664
20-29;2020-07-15;positive;  1879;   54
20-29;2020-07-15;testede;151214;12306
30-39;2020-07-15;positive;  1903;   26
30-39;2020-07-15;testede;147564;10193
40-49;2020-07-15;positive;  2255;   25
40-49;2020-07-15;testede;144385; 8691
50-59;2020-07-15;positive;  2344;   34
50-59;2020-07-15;testede;148498; 8968
60-69;2020-07-15;positive;  1478;   18
60-69;2020-07-15;testede;114428; 7247
70-79;2020-07-15;positive;  1100;    6
70-79;2020-07-15;testede; 86561; 5798
80-89;2020-07-15;positive;   839;    1
80-89;2020-07-15;testede; 39332; 2333
90+;2020-07-15;positive;   267;    4
90+;2020-07-15;testede;  9310;  441
0-9;2020-07-22;positive;   392;   15
0-9;2020-07-22;testede; 77025; 3266
10-19;2020-07-22;positive;   718;   36
10-19;2020-07-22;testede; 83491; 7441
20-29;2020-07-22;positive;  1929;   50
20-29;2020-07-22;testede;163688;12474
30-39;2020-07-22;positive;  1943;   40
30-39;2020-07-22;testede;157181; 9617
40-49;2020-07-22;positive;  2306;   51
40-49;2020-07-22;testede;153288; 8903
50-59;2020-07-22;positive;  2374;   30
50-59;2020-07-22;testede;157481; 8983
60-69;2020-07-22;positive;  1501;   23
60-69;2020-07-22;testede;121342; 6914
70-79;2020-07-22;positive;  1114;   14
70-79;2020-07-22;testede; 92421; 5860
80-89;2020-07-22;positive;   846;    7
80-89;2020-07-22;testede; 41662; 2330
90+;2020-07-22;positive;   269;    2
90+;2020-07-22;testede;  9754;  444
0-9;2020-07-29;positive;   404;   12
0-9;2020-07-29;testede; 80138; 3113
10-19;2020-07-29;positive;   751;   33
10-19;2020-07-29;testede; 92519; 9028
20-29;2020-07-29;positive;  1993;   64
20-29;2020-07-29;testede;177338;13650
30-39;2020-07-29;positive;  1996;   53
30-39;2020-07-29;testede;167759;10578
40-49;2020-07-29;positive;  2370;   64
40-49;2020-07-29;testede;164625;11337
50-59;2020-07-29;positive;  2430;   56
50-59;2020-07-29;testede;168813;11332
60-69;2020-07-29;positive;  1528;   27
