"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
223;90+;17;2021-04-03
230;90+;42;2021-04-03
240;90+;16;2021-04-03
250;90+;10;2021-04-03
253;90+;13;2021-04-03
259;90+;12;2021-04-03
260;90+;7;2021-04-03
265;90+;29;2021-04-03
269;90+;8;2021-04-03
270;90+;14;2021-04-03
306;90+;6;2021-04-03
316;90+;32;2021-04-03
320;90+;7;2021-04-03
326;90+;17;2021-04-03
329;90+;7;2021-04-03
330;90+;42;2021-04-03
336;90+;5;2021-04-03
340;90+;4;2021-04-03
350;90+;10;2021-04-03
360;90+;20;2021-04-03
370;90+;29;2021-04-03
376;90+;29;2021-04-03
390;90+;3;2021-04-03
400;90+;2;2021-04-03
410;90+;4;2021-04-03
420;90+;3;2021-04-03
430;90+;6;2021-04-03
440;90+;3;2021-04-03
450;90+;10;2021-04-03
461;90+;21;2021-04-03
479;90+;13;2021-04-03
480;90+;3;2021-04-03
492;90+;1;2021-04-03
510;90+;3;2021-04-03
530;90+;9;2021-04-03
540;90+;10;2021-04-03
550;90+;1;2021-04-03
561;90+;22;2021-04-03
573;90+;23;2021-04-03
575;90+;3;2021-04-03
580;90+;6;2021-04-03
607;90+;3;2021-04-03
615;90+;23;2021-04-03
621;90+;11;2021-04-03
630;90+;11;2021-04-03
657;90+;11;2021-04-03
661;90+;21;2021-04-03
665;90+;2;2021-04-03
671;90+;3;2021-04-03
706;90+;8;2021-04-03
707;90+;2;2021-04-03
710;90+;3;2021-04-03
727;90+;6;2021-04-03
730;90+;18;2021-04-03
740;90+;9;2021-04-03
741;90+;7;2021-04-03
746;90+;23;2021-04-03
751;90+;90;2021-04-03
756;90+;6;2021-04-03
760;90+;5;2021-04-03
766;90+;4;2021-04-03
773;90+;12;2021-04-03
779;90+;6;2021-04-03
787;90+;15;2021-04-03
791;90+;13;2021-04-03
810;90+;4;2021-04-03
813;90+;4;2021-04-03
820;90+;8;2021-04-03
840;90+;12;2021-04-03
846;90+;14;2021-04-03
849;90+;4;2021-04-03
851;90+;41;2021-04-03
860;90+;11;2021-04-03
