"Revacc. 1 dato";"Regionsnavn";"Antal revacc. 1"
2021-10-24;Hovedstaden;174
2021-10-24;Sjælland;887
2021-10-25;Nordjylland;736
2021-10-25;Midtjylland;3873
2021-10-25;Syddanmark;3267
2021-10-25;Hovedstaden;3290
2021-10-25;Sjælland;2045
2021-10-26;Nordjylland;973
2021-10-26;Midtjylland;4179
2021-10-26;Syddanmark;2770
2021-10-26;Hovedstaden;5034
2021-10-26;Sjælland;1743
2021-10-27;Nordjylland;1481
2021-10-27;Midtjylland;3565
2021-10-27;Syddanmark;3750
2021-10-27;Hovedstaden;4559
2021-10-27;Sjælland;3377
2021-10-28;Nordjylland;1698
2021-10-28;Midtjylland;3436
2021-10-28;Syddanmark;2987
2021-10-28;Hovedstaden;4994
2021-10-28;Sjælland;1735
2021-10-29;Nordjylland;507
2021-10-29;Midtjylland;2927
2021-10-29;Syddanmark;2793
2021-10-29;Hovedstaden;4675
2021-10-29;Sjælland;1793
2021-10-30;Nordjylland;1160
2021-10-30;Midtjylland;75
2021-10-30;Syddanmark;1050
2021-10-30;Hovedstaden;1380
2021-10-30;Sjælland;810
2021-10-31;Nordjylland;1440
2021-10-31;Midtjylland;71
2021-10-31;Syddanmark;965
2021-10-31;Hovedstaden;92
2021-10-31;Sjælland;693
2021-11-01;Nordjylland;1273
2021-11-01;Midtjylland;4880
2021-11-01;Syddanmark;2662
2021-11-01;Hovedstaden;3517
2021-11-01;Sjælland;1765
2021-11-02;Nordjylland;900
2021-11-02;Midtjylland;3626
2021-11-02;Syddanmark;2248
2021-11-02;Hovedstaden;4037
2021-11-02;Sjælland;1403
2021-11-03;Nordjylland;1217
2021-11-03;Midtjylland;4965
2021-11-03;Syddanmark;3021
2021-11-03;Hovedstaden;4198
2021-11-03;Sjælland;3185
2021-11-04;Nordjylland;1105
2021-11-04;Midtjylland;3477
2021-11-04;Syddanmark;2563
2021-11-04;Hovedstaden;4580
2021-11-04;Sjælland;1368
2021-11-05;Nordjylland;1206
2021-11-05;Midtjylland;3451
2021-11-05;Syddanmark;2040
2021-11-05;Hovedstaden;3743
2021-11-05;Sjælland;1585
2021-11-06;Nordjylland;485
2021-11-06;Midtjylland;513
2021-11-06;Syddanmark;757
2021-11-06;Hovedstaden;1463
2021-11-06;Sjælland;985
2021-11-07;Nordjylland;1194
2021-11-07;Midtjylland;19
2021-11-07;Syddanmark;663
2021-11-07;Hovedstaden;90
2021-11-07;Sjælland;823
2021-11-08;Nordjylland;565
2021-11-08;Midtjylland;4005
2021-11-08;Syddanmark;2974
2021-11-08;Hovedstaden;2809
2021-11-08;Sjælland;2005
2021-11-09;Nordjylland;2169
2021-11-09;Midtjylland;3261
2021-11-09;Syddanmark;3315
2021-11-09;Hovedstaden;4026
2021-11-09;Sjælland;2297
2021-11-10;Nordjylland;561
2021-11-10;Midtjylland;6067
2021-11-10;Syddanmark;3842
2021-11-10;Hovedstaden;5063
2021-11-10;Sjælland;4715
2021-11-11;Nordjylland;1225
2021-11-11;Midtjylland;3758
2021-11-11;Syddanmark;3308
2021-11-11;Hovedstaden;4853
2021-11-11;Sjælland;3079
2021-11-12;Nordjylland;374
2021-11-12;Midtjylland;4268
2021-11-12;Syddanmark;2642
2021-11-12;Hovedstaden;4014
2021-11-12;Sjælland;3076
2021-11-13;Nordjylland;458
2021-11-13;Midtjylland;1057
2021-11-13;Syddanmark;650
2021-11-13;Hovedstaden;1442
2021-11-13;Sjælland;1925
2021-11-14;Nordjylland;1832
2021-11-14;Midtjylland;69
2021-11-14;Syddanmark;1150
2021-11-14;Hovedstaden;126
2021-11-14;Sjælland;1583
2021-11-15;Nordjylland;733
2021-11-15;Midtjylland;4846
2021-11-15;Syddanmark;2973
2021-11-15;Hovedstaden;4929
2021-11-15;Sjælland;2694
2021-11-16;Nordjylland;992
2021-11-16;Midtjylland;3838
2021-11-16;Syddanmark;3005
2021-11-16;Hovedstaden;5341
2021-11-16;Sjælland;2232
2021-11-17;Nordjylland;952
2021-11-17;Midtjylland;6586
2021-11-17;Syddanmark;5573
2021-11-17;Hovedstaden;6756
2021-11-17;Sjælland;4674
2021-11-18;Nordjylland;2522
2021-11-18;Midtjylland;5245
2021-11-18;Syddanmark;5766
2021-11-18;Hovedstaden;6875
2021-11-18;Sjælland;3383
2021-11-19;Nordjylland;1713
2021-11-19;Midtjylland;6027
2021-11-19;Syddanmark;4685
2021-11-19;Hovedstaden;5940
2021-11-19;Sjælland;3740
2021-11-20;Nordjylland;2087
2021-11-20;Midtjylland;1900
2021-11-20;Syddanmark;2929
2021-11-20;Hovedstaden;4032
2021-11-20;Sjælland;2650
2021-11-21;Nordjylland;1422
2021-11-21;Midtjylland;75
2021-11-21;Syddanmark;2936
2021-11-21;Hovedstaden;693
2021-11-21;Sjælland;2621
2021-11-22;Nordjylland;938
2021-11-22;Midtjylland;9362
2021-11-22;Syddanmark;7392
2021-11-22;Hovedstaden;7593
2021-11-22;Sjælland;3632
2021-11-23;Nordjylland;3971
2021-11-23;Midtjylland;9755
2021-11-23;Syddanmark;7747
2021-11-23;Hovedstaden;7374
2021-11-23;Sjælland;3535
2021-11-24;Nordjylland;2020
2021-11-24;Midtjylland;10614
2021-11-24;Syddanmark;7772
2021-11-24;Hovedstaden;8999
2021-11-24;Sjælland;6186
2021-11-25;Nordjylland;2896
2021-11-25;Midtjylland;10417
2021-11-25;Syddanmark;7618
2021-11-25;Hovedstaden;9085
2021-11-25;Sjælland;4118
2021-11-26;Nordjylland;1503
2021-11-26;Midtjylland;7409
2021-11-26;Syddanmark;5672
2021-11-26;Hovedstaden;7695
2021-11-26;Sjælland;4048
2021-11-27;Nordjylland;2728
2021-11-27;Midtjylland;2648
2021-11-27;Syddanmark;3232
2021-11-27;Hovedstaden;6241
2021-11-27;Sjælland;3299
2021-11-28;Nordjylland;5165
2021-11-28;Midtjylland;175
2021-11-28;Syddanmark;3557
2021-11-28;Hovedstaden;5172
2021-11-28;Sjælland;3241
2021-11-29;Nordjylland;2988
2021-11-29;Midtjylland;8572
2021-11-29;Syddanmark;6485
2021-11-29;Hovedstaden;7879
2021-11-29;Sjælland;3976
2021-11-30;Nordjylland;4816
2021-11-30;Midtjylland;8134
2021-11-30;Syddanmark;6568
2021-11-30;Hovedstaden;7664
2021-11-30;Sjælland;3671
2021-12-01;Nordjylland;3256
2021-12-01;Midtjylland;8833
2021-12-01;Syddanmark;6805
2021-12-01;Hovedstaden;9561
2021-12-01;Sjælland;5733
2021-12-02;Nordjylland;1773
2021-12-02;Midtjylland;7605
2021-12-02;Syddanmark;7192
2021-12-02;Hovedstaden;12533
2021-12-02;Sjælland;4161
2021-12-03;Nordjylland;2514
2021-12-03;Midtjylland;6467
2021-12-03;Syddanmark;5555
2021-12-03;Hovedstaden;10048
2021-12-03;Sjælland;3972
2021-12-04;Nordjylland;3242
2021-12-04;Midtjylland;2215
2021-12-04;Syddanmark;2874
2021-12-04;Hovedstaden;6585
2021-12-04;Sjælland;3113
2021-12-05;Nordjylland;3938
2021-12-05;Midtjylland;406
2021-12-05;Syddanmark;3557
2021-12-05;Hovedstaden;3160
2021-12-05;Sjælland;3368
2021-12-06;Nordjylland;3422
2021-12-06;Midtjylland;8136
2021-12-06;Syddanmark;6636
