"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-10;Kolding;M;36388;34740;7223;36237;34708;6989;151;32;234
2021-12-10;Vejle;K;47331;45387;13292;47176;45353;12911;155;34;381
2021-12-10;Vejle;M;46335;44284;9742;46171;44254;9462;164;30;280
2021-12-10;Herning;K;36120;34653;11255;35970;34634;10823;150;19;432
2021-12-10;Herning;M;35810;34204;8102;35651;34187;7770;159;17;332
2021-12-10;Holstebro;K;24077;23200;7673;24000;23130;7354;77;70;319
2021-12-10;Holstebro;M;23430;22416;5351;23352;22350;5122;78;66;229
2021-12-10;Lemvig;K;7931;7675;2688;7922;7659;2521;9;16;167
2021-12-10;Lemvig;M;8127;7877;2062;8121;7859;1931;6;18;131
2021-12-10;Struer;K;8661;8390;2763;8649;8363;2641;12;27;122
2021-12-10;Struer;M;8584;8237;2087;8566;8211;1970;18;26;117
2021-12-10;Syddjurs;K;17743;17279;4878;17718;17277;4681;25;2;197
2021-12-10;Syddjurs;M;17528;17059;3754;17500;17061;3605;28;-2;149
2021-12-10;Norddjurs;K;14818;14422;4353;14769;14416;4057;49;6;296
2021-12-10;Norddjurs;M;15243;14767;3163;15203;14761;2961;40;6;202
2021-12-10;Favrskov;K;19668;18965;5208;19596;18936;4976;72;29;232
2021-12-10;Favrskov;M;19493;18828;3656;19432;18804;3449;61;24;207
2021-12-10;Odder;K;9722;9493;3016;9694;9486;2903;28;7;113
2021-12-10;Odder;M;9312;9094;2087;9292;9094;1997;20;0;90
2021-12-10;Randers;K;40007;38834;11961;39938;38810;11675;69;24;286
2021-12-10;Randers;M;38895;37633;8115;38830;37613;7911;65;20;204
2021-12-10;Silkeborg;K;39081;37661;11467;38986;37620;10995;95;41;472
2021-12-10;Silkeborg;M;38122;36755;8416;38026;36717;8060;96;38;356
2021-12-10;Samsø;K;1565;1544;392;1566;1545;389;-1;-1;3
2021-12-10;Samsø;M;1534;1506;262;1534;1506;261;0;0;1
2021-12-10;Skanderborg;K;25896;24978;6628;25781;24978;6414;115;0;214
2021-12-10;Skanderborg;M;25093;24240;4830;24953;24237;4636;140;3;194
2021-12-10;Århus;K;146064;141485;35950;145703;141342;34901;361;143;1049
2021-12-10;Århus;M;138352;133633;25983;137998;133502;25178;354;131;805
2021-12-10;Ikast-Brande;K;16423;15731;4918;16355;15718;4739;68;13;179
2021-12-10;Ikast-Brande;M;16579;15848;3729;16513;15840;3557;66;8;172
2021-12-10;Ringkøbing-Skjern;K;22428;21667;7251;22341;21629;6839;87;38;412
2021-12-10;Ringkøbing-Skjern;M;22670;21808;5410;22581;21778;5063;89;30;347
2021-12-10;Hedensted;K;18842;18181;5807;18801;18159;5551;41;22;256
2021-12-10;Hedensted;M;19145;18391;4205;19078;18374;4002;67;17;203
2021-12-10;Morsø;K;8202;7959;2470;8196;7959;2429;6;0;41
2021-12-10;Morsø;M;8225;7970;1778;8219;7969;1748;6;1;30
2021-12-10;Skive;K;18489;17872;5530;18443;17852;5292;46;20;238
2021-12-10;Skive;M;18807;18138;4157;18766;18118;3928;41;20;229
2021-12-10;Thisted;K;17460;16970;4792;17452;16970;4754;8;0;38
2021-12-10;Thisted;M;17347;16792;3384;17341;16791;3337;6;1;47
2021-12-10;Viborg;K;39487;38054;12506;39356;38022;11989;131;32;517
2021-12-10;Viborg;M;39027;37466;9033;38890;37423;8641;137;43;392
2021-12-10;Brønderslev;K;14404;13979;3933;14373;13977;3892;31;2;41
2021-12-10;Brønderslev;M;14391;13960;2694;14369;13955;2663;22;5;31
2021-12-10;Frederikshavn;K;24178;23531;7179;24164;23527;7087;14;4;92
2021-12-10;Frederikshavn;M;23917;23178;5265;23907;23173;5206;10;5;59
2021-12-10;Vesthimmerland;K;14377;13948;4281;14366;13946;4243;11;2;38
2021-12-10;Vesthimmerland;M;14397;13912;3086;14386;13911;3054;11;1;32
2021-12-10;Læsø;K;743;728;251;743;728;251;0;0;0
2021-12-10;Læsø;M;732;721;207;732;721;207;0;0;0
2021-12-10;Rebild;K;11997;11638;3347;11969;11627;3171;28;11;176
2021-12-10;Rebild;M;12143;11739;2367;12116;11724;2214;27;15;153
2021-12-10;Mariagerfjord;K;16657;16253;4629;16650;16228;4184;7;25;445
2021-12-10;Mariagerfjord;M;17013;16536;3517;16988;16513;3108;25;23;409
2021-12-10;Jammerbugt;K;15378;14924;4209;15369;14921;4155;9;3;54
2021-12-10;Jammerbugt;M;15377;14806;3124;15362;14802;3081;15;4;43
2021-12-10;Aalborg;K;89204;86533;22664;89022;86451;21869;182;82;795
2021-12-10;Aalborg;M;89234;86303;15962;89019;86203;15400;215;100;562
2021-12-10;Hjørring;K;26201;25618;7803;26198;25615;7787;3;3;16
2021-12-10;Hjørring;M;25553;24896;5291;25546;24894;5278;7;2;13
