"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2021-01-07;65-79;Sjælland;309;0
2021-01-07;80+;Sjælland;424;0
2021-01-08;20-39;Nordjylland;85;0
2021-01-08;40-64;Nordjylland;132;0
2021-01-08;65-79;Nordjylland;10;0
2021-01-08;80+;Nordjylland;7;0
2021-01-08;16-19;Midtjylland;10;0
2021-01-08;20-39;Midtjylland;345;0
2021-01-08;40-64;Midtjylland;874;0
2021-01-08;65-79;Midtjylland;472;0
2021-01-08;80+;Midtjylland;745;0
2021-01-08;16-19;Syddanmark;12;0
2021-01-08;20-39;Syddanmark;452;0
2021-01-08;40-64;Syddanmark;1271;0
2021-01-08;65-79;Syddanmark;511;0
2021-01-08;80+;Syddanmark;686;0
2021-01-08;20-39;Hovedstaden;243;1
2021-01-08;40-64;Hovedstaden;405;0
2021-01-08;65-79;Hovedstaden;62;0
2021-01-08;80+;Hovedstaden;41;0
2021-01-08;16-19;Sjælland;1;0
2021-01-08;20-39;Sjælland;137;0
2021-01-08;40-64;Sjælland;494;0
2021-01-08;65-79;Sjælland;172;0
2021-01-08;80+;Sjælland;357;0
2021-01-09;20-39;Nordjylland;6;0
2021-01-09;40-64;Nordjylland;2;0
2021-01-09;65-79;Nordjylland;10;0
2021-01-09;80+;Nordjylland;18;0
2021-01-09;16-19;Midtjylland;3;0
2021-01-09;20-39;Midtjylland;185;0
2021-01-09;40-64;Midtjylland;297;0
2021-01-09;65-79;Midtjylland;85;0
2021-01-09;80+;Midtjylland;110;0
2021-01-09;20-39;Syddanmark;14;0
2021-01-09;40-64;Syddanmark;12;0
2021-01-09;65-79;Syddanmark;3;0
2021-01-09;80+;Syddanmark;7;0
2021-01-09;16-19;Hovedstaden;6;0
2021-01-09;20-39;Hovedstaden;65;0
2021-01-09;40-64;Hovedstaden;41;1
2021-01-09;65-79;Hovedstaden;12;0
2021-01-09;80+;Hovedstaden;1;1
2021-01-09;16-19;Sjælland;9;0
2021-01-09;20-39;Sjælland;202;0
2021-01-09;40-64;Sjælland;547;0
2021-01-09;65-79;Sjælland;79;0
2021-01-09;80+;Sjælland;110;0
2021-01-10;20-39;Nordjylland;2;0
2021-01-10;20-39;Midtjylland;1;0
2021-01-10;40-64;Midtjylland;1;0
2021-01-10;65-79;Midtjylland;1;0
2021-01-10;20-39;Syddanmark;10;0
2021-01-10;40-64;Syddanmark;9;0
2021-01-10;65-79;Syddanmark;1;0
2021-01-10;80+;Syddanmark;1;0
2021-01-10;20-39;Hovedstaden;72;0
2021-01-10;40-64;Hovedstaden;55;0
2021-01-10;65-79;Hovedstaden;12;0
2021-01-10;20-39;Sjælland;162;0
2021-01-10;40-64;Sjælland;444;0
2021-01-10;65-79;Sjælland;47;0
2021-01-11;40-64;Nordjylland;3;0
2021-01-11;20-39;Midtjylland;5;0
2021-01-11;40-64;Midtjylland;9;0
2021-01-11;65-79;Midtjylland;1;0
2021-01-11;80+;Midtjylland;4;0
2021-01-11;20-39;Syddanmark;6;0
2021-01-11;40-64;Syddanmark;12;0
2021-01-11;65-79;Syddanmark;1;0
2021-01-11;20-39;Hovedstaden;37;0
2021-01-11;40-64;Hovedstaden;59;0
2021-01-11;65-79;Hovedstaden;6;0
2021-01-11;20-39;Sjælland;123;0
2021-01-11;40-64;Sjælland;378;0
2021-01-11;65-79;Sjælland;21;0
2021-01-12;20-39;Nordjylland;2;0
2021-01-12;40-64;Nordjylland;2;0
2021-01-12;65-79;Nordjylland;1;0
2021-01-12;80+;Nordjylland;1;0
;;NA;0;1
2021-01-12;40-64;Midtjylland;13;0
2021-01-12;80+;Midtjylland;1;0
2021-01-12;20-39;Syddanmark;3;1
2021-01-12;40-64;Syddanmark;9;0
2021-01-12;65-79;Syddanmark;2;0
2021-01-12;16-19;Hovedstaden;1;0
2021-01-12;20-39;Hovedstaden;35;0
2021-01-12;40-64;Hovedstaden;37;0
2021-01-12;65-79;Hovedstaden;3;0
2021-01-12;20-39;Sjælland;89;0
2021-01-12;40-64;Sjælland;249;0
2021-01-12;65-79;Sjælland;16;0
2021-01-13;20-39;Nordjylland;97;0
2021-01-13;40-64;Nordjylland;150;0
2021-01-13;65-79;Nordjylland;80;0
2021-01-13;80+;Nordjylland;125;0
2021-01-13;16-19;Midtjylland;11;0
2021-01-13;20-39;Midtjylland;384;1
2021-01-13;40-64;Midtjylland;671;2
2021-01-13;65-79;Midtjylland;309;0
2021-01-13;80+;Midtjylland;467;0
2021-01-13;16-19;Syddanmark;3;0
2021-01-13;20-39;Syddanmark;355;0
2021-01-13;40-64;Syddanmark;714;0
2021-01-13;65-79;Syddanmark;425;0
2021-01-13;80+;Syddanmark;625;0
2021-01-13;16-19;Hovedstaden;27;0
2021-01-13;20-39;Hovedstaden;1305;1
2021-01-13;40-64;Hovedstaden;2789;1
2021-01-13;65-79;Hovedstaden;1717;0
2021-01-13;80+;Hovedstaden;756;0
2021-01-13;16-19;Sjælland;6;0
2021-01-13;20-39;Sjælland;184;0
2021-01-13;40-64;Sjælland;492;0
2021-01-13;65-79;Sjælland;157;0
2021-01-13;80+;Sjælland;88;0
2021-01-14;16-19;Nordjylland;1;0
2021-01-14;20-39;Nordjylland;56;0
2021-01-14;40-64;Nordjylland;116;0
2021-01-14;65-79;Nordjylland;147;0
2021-01-14;80+;Nordjylland;296;0
2021-01-14;16-19;Midtjylland;13;0
2021-01-14;20-39;Midtjylland;444;0
2021-01-14;40-64;Midtjylland;795;0
2021-01-14;65-79;Midtjylland;496;0
2021-01-14;80+;Midtjylland;842;0
2021-01-14;12-15;Syddanmark;1;0
2021-01-14;16-19;Syddanmark;8;0
2021-01-14;20-39;Syddanmark;578;0
2021-01-14;40-64;Syddanmark;1100;0
2021-01-14;65-79;Syddanmark;771;0
2021-01-14;80+;Syddanmark;927;0
2021-01-14;16-19;Hovedstaden;21;0
2021-01-14;20-39;Hovedstaden;1620;0
2021-01-14;40-64;Hovedstaden;3233;1
2021-01-14;65-79;Hovedstaden;2059;0
2021-01-14;80+;Hovedstaden;1183;0
2021-01-14;16-19;Sjælland;4;0
2021-01-14;20-39;Sjælland;258;0
2021-01-14;40-64;Sjælland;737;0
2021-01-14;65-79;Sjælland;213;0
2021-01-14;80+;Sjælland;581;0
2021-01-15;16-19;Nordjylland;2;0
2021-01-15;20-39;Nordjylland;113;0
2021-01-15;40-64;Nordjylland;236;0
2021-01-15;65-79;Nordjylland;289;0
2021-01-15;80+;Nordjylland;542;0
2021-01-15;16-19;Midtjylland;15;0
2021-01-15;20-39;Midtjylland;537;0
2021-01-15;40-64;Midtjylland;1084;0
2021-01-15;65-79;Midtjylland;605;0
2021-01-15;80+;Midtjylland;709;0
2021-01-15;16-19;Syddanmark;7;0
2021-01-15;20-39;Syddanmark;533;0
2021-01-15;40-64;Syddanmark;1081;0
2021-01-15;65-79;Syddanmark;1037;0
2021-01-15;80+;Syddanmark;1064;0
2021-01-15;16-19;Hovedstaden;15;0
2021-01-15;20-39;Hovedstaden;1003;1
2021-01-15;40-64;Hovedstaden;2080;2
2021-01-15;65-79;Hovedstaden;1232;2
2021-01-15;80+;Hovedstaden;826;0
2021-01-15;16-19;Sjælland;3;0
2021-01-15;20-39;Sjælland;121;0
2021-01-15;40-64;Sjælland;376;0
2021-01-15;65-79;Sjælland;111;0
2021-01-15;80+;Sjælland;293;0
2021-01-16;16-19;Nordjylland;4;0
2021-01-16;20-39;Nordjylland;41;0
2021-01-16;40-64;Nordjylland;135;0
2021-01-16;65-79;Nordjylland;310;0
2021-01-16;80+;Nordjylland;624;0
2021-01-16;16-19;Midtjylland;7;0
2021-01-16;20-39;Midtjylland;240;0
2021-01-16;40-64;Midtjylland;424;6
2021-01-16;65-79;Midtjylland;108;0
2021-01-16;80+;Midtjylland;111;1
2021-01-16;16-19;Syddanmark;4;0
2021-01-16;20-39;Syddanmark;107;0
2021-01-16;40-64;Syddanmark;239;0
2021-01-16;65-79;Syddanmark;397;0
2021-01-16;80+;Syddanmark;569;0
2021-01-16;16-19;Hovedstaden;2;0
2021-01-16;20-39;Hovedstaden;248;1
2021-01-16;40-64;Hovedstaden;436;0
2021-01-16;65-79;Hovedstaden;97;1
2021-01-16;80+;Hovedstaden;52;0
2021-01-16;16-19;Sjælland;1;0
2021-01-16;20-39;Sjælland;10;0
2021-01-16;40-64;Sjælland;39;1
2021-01-16;65-79;Sjælland;11;0
2021-01-16;80+;Sjælland;4;0
2021-01-17;16-19;Nordjylland;3;0
2021-01-17;20-39;Nordjylland;64;0
2021-01-17;40-64;Nordjylland;127;1
2021-01-17;65-79;Nordjylland;273;0
2021-01-17;80+;Nordjylland;498;0
2021-01-17;16-19;Midtjylland;2;0
2021-01-17;20-39;Midtjylland;1;1
2021-01-17;40-64;Midtjylland;11;2
2021-01-17;65-79;Midtjylland;13;0
2021-01-17;80+;Midtjylland;2;0
2021-01-17;16-19;Syddanmark;3;2
2021-01-17;20-39;Syddanmark;80;32
2021-01-17;40-64;Syddanmark;229;136
2021-01-17;65-79;Syddanmark;333;80
2021-01-17;80+;Syddanmark;484;124
2021-01-17;20-39;Hovedstaden;17;20
2021-01-17;40-64;Hovedstaden;28;19
2021-01-17;65-79;Hovedstaden;3;3
2021-01-17;80+;Hovedstaden;4;0
2021-01-17;20-39;Sjælland;16;52
2021-01-17;40-64;Sjælland;18;130
2021-01-17;65-79;Sjælland;3;14
2021-01-17;80+;Sjælland;1;0
2021-01-18;20-39;Nordjylland;30;1
2021-01-18;40-64;Nordjylland;77;3
2021-01-18;65-79;Nordjylland;199;0
2021-01-18;80+;Nordjylland;282;0
2021-01-18;16-19;Midtjylland;17;0
2021-01-18;20-39;Midtjylland;225;48
2021-01-18;40-64;Midtjylland;438;104
2021-01-18;65-79;Midtjylland;361;14
2021-01-18;80+;Midtjylland;444;0
;;NA;0;1
2021-01-18;16-19;Syddanmark;2;2
2021-01-18;20-39;Syddanmark;167;65
2021-01-18;40-64;Syddanmark;400;214
2021-01-18;65-79;Syddanmark;498;71
2021-01-18;80+;Syddanmark;260;95
2021-01-18;20-39;Hovedstaden;15;65
2021-01-18;40-64;Hovedstaden;15;64
2021-01-18;65-79;Hovedstaden;4;8
2021-01-18;80+;Hovedstaden;3;0
;;NA;0;1
2021-01-18;20-39;Sjælland;29;162
2021-01-18;40-64;Sjælland;63;490
2021-01-18;65-79;Sjælland;2;201
2021-01-18;80+;Sjælland;3;286
2021-01-19;20-39;Nordjylland;15;0
2021-01-19;40-64;Nordjylland;12;3
2021-01-19;65-79;Nordjylland;4;0
2021-01-19;80+;Nordjylland;1;0
2021-01-19;16-19;Midtjylland;24;0
2021-01-19;20-39;Midtjylland;278;4
2021-01-19;40-64;Midtjylland;616;5
2021-01-19;65-79;Midtjylland;317;2
2021-01-19;80+;Midtjylland;429;0
2021-01-19;16-19;Syddanmark;1;0
2021-01-19;20-39;Syddanmark;51;35
2021-01-19;40-64;Syddanmark;62;173
2021-01-19;65-79;Syddanmark;198;69
2021-01-19;80+;Syddanmark;68;111
2021-01-19;16-19;Hovedstaden;2;0
2021-01-19;20-39;Hovedstaden;21;80
2021-01-19;40-64;Hovedstaden;26;80
2021-01-19;65-79;Hovedstaden;7;12
2021-01-19;80+;Hovedstaden;2;1
;;NA;0;1
2021-01-19;20-39;Sjælland;36;211
2021-01-19;40-64;Sjælland;91;587
2021-01-19;65-79;Sjælland;6;203
2021-01-19;80+;Sjælland;24;254
2021-01-20;16-19;Nordjylland;1;0
2021-01-20;20-39;Nordjylland;7;2
2021-01-20;40-64;Nordjylland;9;2
2021-01-20;65-79;Nordjylland;3;0
2021-01-20;16-19;Midtjylland;17;1
2021-01-20;20-39;Midtjylland;197;23
2021-01-20;40-64;Midtjylland;371;73
2021-01-20;65-79;Midtjylland;182;2
2021-01-20;80+;Midtjylland;172;0
2021-01-20;16-19;Syddanmark;1;0
2021-01-20;20-39;Syddanmark;25;34
2021-01-20;40-64;Syddanmark;67;114
2021-01-20;65-79;Syddanmark;53;47
2021-01-20;80+;Syddanmark;47;58
2021-01-20;20-39;Hovedstaden;14;66
2021-01-20;40-64;Hovedstaden;12;61
2021-01-20;65-79;Hovedstaden;6;9
2021-01-20;80+;Hovedstaden;2;1
;;NA;0;3
2021-01-20;20-39;Sjælland;18;180
2021-01-20;40-64;Sjælland;59;525
2021-01-20;65-79;Sjælland;10;176
2021-01-20;80+;Sjælland;121;286
2021-01-21;16-19;Nordjylland;1;0
2021-01-21;20-39;Nordjylland;7;3
2021-01-21;40-64;Nordjylland;9;7
2021-01-21;65-79;Nordjylland;1;0
2021-01-21;16-19;Midtjylland;12;0
2021-01-21;20-39;Midtjylland;160;202
2021-01-21;40-64;Midtjylland;387;347
2021-01-21;65-79;Midtjylland;275;25
2021-01-21;80+;Midtjylland;248;2
2021-01-21;20-39;Syddanmark;13;33
2021-01-21;40-64;Syddanmark;52;137
2021-01-21;65-79;Syddanmark;48;89
2021-01-21;80+;Syddanmark;22;105
2021-01-21;20-39;Hovedstaden;17;46
2021-01-21;40-64;Hovedstaden;15;60
2021-01-21;65-79;Hovedstaden;1;8
2021-01-21;80+;Hovedstaden;3;4
2021-01-21;16-19;Sjælland;1;1
2021-01-21;20-39;Sjælland;24;142
2021-01-21;40-64;Sjælland;63;456
