"Dato";"Aldersgruppe";"Regionsnavn";"Antal første vacc.";"Antal færdigvacc."
2021-01-16;40-64;Midtjylland;419;5
2021-01-16;65-79;Midtjylland;119;1
2021-01-16;80+;Midtjylland;120;1
2021-01-16;16-19;Syddanmark;2;0
2021-01-16;20-39;Syddanmark;96;0
2021-01-16;40-64;Syddanmark;242;0
2021-01-16;65-79;Syddanmark;389;0
2021-01-16;80+;Syddanmark;648;0
2021-01-16;16-19;Hovedstaden;1;0
2021-01-16;20-39;Hovedstaden;243;0
2021-01-16;40-64;Hovedstaden;445;0
2021-01-16;65-79;Hovedstaden;101;1
2021-01-16;80+;Hovedstaden;55;0
2021-01-16;20-39;Sjælland;7;0
2021-01-16;40-64;Sjælland;40;1
2021-01-16;65-79;Sjælland;11;0
2021-01-16;80+;Sjælland;3;0
2021-01-17;16-19;Nordjylland;1;0
2021-01-17;20-39;Nordjylland;61;0
2021-01-17;40-64;Nordjylland;128;1
2021-01-17;65-79;Nordjylland;275;0
2021-01-17;80+;Nordjylland;561;0
2021-01-17;16-19;Midtjylland;1;0
2021-01-17;20-39;Midtjylland;2;0
2021-01-17;40-64;Midtjylland;11;2
2021-01-17;65-79;Midtjylland;13;0
2021-01-17;80+;Midtjylland;1;0
2021-01-17;16-19;Syddanmark;1;0
2021-01-17;20-39;Syddanmark;74;32
2021-01-17;40-64;Syddanmark;231;134
2021-01-17;65-79;Syddanmark;334;79
2021-01-17;80+;Syddanmark;540;155
2021-01-17;20-39;Hovedstaden;17;18
2021-01-17;40-64;Hovedstaden;29;20
2021-01-17;65-79;Hovedstaden;3;3
2021-01-17;80+;Hovedstaden;5;0
2021-01-17;20-39;Sjælland;15;52
2021-01-17;40-64;Sjælland;18;131
2021-01-17;65-79;Sjælland;3;17
2021-01-18;20-39;Nordjylland;29;1
2021-01-18;40-64;Nordjylland;77;3
2021-01-18;65-79;Nordjylland;193;0
2021-01-18;80+;Nordjylland;326;0
2021-01-18;16-19;Midtjylland;9;0
2021-01-18;20-39;Midtjylland;221;45
2021-01-18;40-64;Midtjylland;439;104
2021-01-18;65-79;Midtjylland;346;17
2021-01-18;80+;Midtjylland;521;0
;;NA;0;1
;;NA;0;1
2021-01-18;20-39;Syddanmark;167;63
2021-01-18;40-64;Syddanmark;400;216
2021-01-18;65-79;Syddanmark;503;71
2021-01-18;80+;Syddanmark;292;116
2021-01-18;20-39;Hovedstaden;11;62
2021-01-18;40-64;Hovedstaden;12;66
2021-01-18;65-79;Hovedstaden;3;9
2021-01-18;80+;Hovedstaden;5;0
2021-01-18;20-39;Sjælland;27;149
2021-01-18;40-64;Sjælland;64;490
2021-01-18;65-79;Sjælland;3;219
2021-01-18;80+;Sjælland;4;338
2021-01-19;20-39;Nordjylland;15;0
2021-01-19;40-64;Nordjylland;10;2
2021-01-19;65-79;Nordjylland;5;0
2021-01-19;80+;Nordjylland;1;0
2021-01-19;16-19;Midtjylland;12;0
2021-01-19;20-39;Midtjylland;267;3
2021-01-19;40-64;Midtjylland;625;6
2021-01-19;65-79;Midtjylland;333;2
2021-01-19;80+;Midtjylland;476;0
2021-01-19;16-19;Syddanmark;1;0
2021-01-19;20-39;Syddanmark;45;31
2021-01-19;40-64;Syddanmark;65;172
2021-01-19;65-79;Syddanmark;192;69
2021-01-19;80+;Syddanmark;83;136
2021-01-19;20-39;Hovedstaden;21;73
2021-01-19;40-64;Hovedstaden;26;83
2021-01-19;65-79;Hovedstaden;6;17
2021-01-19;80+;Hovedstaden;2;0
;;NA;0;1
2021-01-19;20-39;Sjælland;33;192
2021-01-19;40-64;Sjælland;95;589
2021-01-19;65-79;Sjælland;9;224
2021-01-19;80+;Sjælland;26;322
2021-01-20;20-39;Nordjylland;8;2
2021-01-20;40-64;Nordjylland;10;1
2021-01-20;65-79;Nordjylland;2;1
2021-01-20;16-19;Midtjylland;13;0
2021-01-20;20-39;Midtjylland;190;20
2021-01-20;40-64;Midtjylland;372;74
