"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
320;40-49;218;2021-03-19
326;40-49;214;2021-03-19
329;40-49;258;2021-03-19
330;40-49;597;2021-03-19
336;40-49;138;2021-03-19
340;40-49;165;2021-03-19
350;40-49;195;2021-03-19
360;40-49;165;2021-03-19
370;40-49;439;2021-03-19
376;40-49;228;2021-03-19
390;40-49;195;2021-03-19
400;40-49;96;2021-03-19
410;40-49;135;2021-03-19
420;40-49;104;2021-03-19
430;40-49;150;2021-03-19
440;40-49;84;2021-03-19
450;40-49;132;2021-03-19
461;40-49;916;2021-03-19
479;40-49;204;2021-03-19
480;40-49;96;2021-03-19
482;40-49;17;2021-03-19
492;40-49;5;2021-03-19
510;40-49;147;2021-03-19
530;40-49;100;2021-03-19
540;40-49;320;2021-03-19
550;40-49;105;2021-03-19
561;40-49;458;2021-03-19
563;40-49;11;2021-03-19
573;40-49;161;2021-03-19
575;40-49;171;2021-03-19
580;40-49;157;2021-03-19
607;40-49;194;2021-03-19
615;40-49;431;2021-03-19
621;40-49;475;2021-03-19
630;40-49;506;2021-03-19
657;40-49;317;2021-03-19
661;40-49;292;2021-03-19
665;40-49;43;2021-03-19
671;40-49;105;2021-03-19
706;40-49;115;2021-03-19
707;40-49;91;2021-03-19
710;40-49;192;2021-03-19
727;40-49;90;2021-03-19
730;40-49;395;2021-03-19
740;40-49;410;2021-03-19
741;40-49;8;2021-03-19
746;40-49;342;2021-03-19
751;40-49;1709;2021-03-19
756;40-49;153;2021-03-19
760;40-49;142;2021-03-19
766;40-49;195;2021-03-19
773;40-49;84;2021-03-19
779;40-49;129;2021-03-19
787;40-49;137;2021-03-19
791;40-49;314;2021-03-19
810;40-49;137;2021-03-19
813;40-49;169;2021-03-19
820;40-49;95;2021-03-19
825;40-49;5;2021-03-19
840;40-49;103;2021-03-19
846;40-49;145;2021-03-19
849;40-49;149;2021-03-19
851;40-49;787;2021-03-19
860;40-49;194;2021-03-19
;50-59;216;2021-03-19
011;50-59;98;2021-03-19
012;50-59;2;2021-03-19
019;50-59;7;2021-03-19
101;50-59;4223;2021-03-19
147;50-59;686;2021-03-19
151;50-59;492;2021-03-19
153;50-59;390;2021-03-19
155;50-59;127;2021-03-19
157;50-59;600;2021-03-19
159;50-59;621;2021-03-19
161;50-59;198;2021-03-19
163;50-59;312;2021-03-19
165;50-59;291;2021-03-19
167;50-59;475;2021-03-19
169;50-59;496;2021-03-19
173;50-59;375;2021-03-19
175;50-59;364;2021-03-19
183;50-59;314;2021-03-19
185;50-59;358;2021-03-19
187;50-59;163;2021-03-19
190;50-59;280;2021-03-19
201;50-59;170;2021-03-19
210;50-59;316;2021-03-19
217;50-59;549;2021-03-19
219;50-59;379;2021-03-19
223;50-59;198;2021-03-19
230;50-59;461;2021-03-19
240;50-59;392;2021-03-19
250;50-59;286;2021-03-19
253;50-59;448;2021-03-19
259;50-59;515;2021-03-19
260;50-59;161;2021-03-19
265;50-59;554;2021-03-19
269;50-59;203;2021-03-19
270;50-59;284;2021-03-19
306;50-59;144;2021-03-19
316;50-59;453;2021-03-19
320;50-59;255;2021-03-19
326;50-59;241;2021-03-19
329;50-59;235;2021-03-19
330;50-59;546;2021-03-19
336;50-59;134;2021-03-19
340;50-59;139;2021-03-19
350;50-59;196;2021-03-19
360;50-59;161;2021-03-19
370;50-59;511;2021-03-19
376;50-59;283;2021-03-19
390;50-59;201;2021-03-19
400;50-59;97;2021-03-19
410;50-59;154;2021-03-19
420;50-59;111;2021-03-19
430;50-59;176;2021-03-19
440;50-59;105;2021-03-19
450;50-59;144;2021-03-19
461;50-59;885;2021-03-19
479;50-59;205;2021-03-19
480;50-59;94;2021-03-19
482;50-59;27;2021-03-19
492;50-59;11;2021-03-19
510;50-59;152;2021-03-19
530;50-59;91;2021-03-19
540;50-59;258;2021-03-19
550;50-59;110;2021-03-19
561;50-59;495;2021-03-19
573;50-59;179;2021-03-19
575;50-59;153;2021-03-19
580;50-59;221;2021-03-19
607;50-59;197;2021-03-19
615;50-59;398;2021-03-19
621;50-59;398;2021-03-19
630;50-59;478;2021-03-19
657;50-59;346;2021-03-19
661;50-59;307;2021-03-19
665;50-59;90;2021-03-19
671;50-59;125;2021-03-19
706;50-59;127;2021-03-19
707;50-59;129;2021-03-19
710;50-59;193;2021-03-19
727;50-59;100;2021-03-19
730;50-59;447;2021-03-19
740;50-59;347;2021-03-19
741;50-59;15;2021-03-19
746;50-59;296;2021-03-19
751;50-59;1683;2021-03-19
756;50-59;167;2021-03-19
760;50-59;188;2021-03-19
766;50-59;194;2021-03-19
773;50-59;107;2021-03-19
779;50-59;139;2021-03-19
787;50-59;174;2021-03-19
791;50-59;310;2021-03-19
